,combination,sim
699,F5SXURFA TO F96H6I58,0.6930651049340986
1213,56QUJEMP TO Z56T9MF4,0.6442573292829987
91,T4S3K5ZT TO Z56T9MF4,0.6389390142756772
72,HTFNIQDD TO T4S3K5ZT,0.6347111479208667
943,HTFNIQDD TO Z56T9MF4,0.6250912431291072
1186,2017_1 TO CZQ57NCZ,0.611880950945087
947,56QUJEMP TO HTFNIQDD,0.5953311226108862
702,F5SXURFA TO NINP5I8I,0.5875427703625025
356,FQVMU8GU TO GCGB74CJ,0.5783650853970209
95,56QUJEMP TO T4S3K5ZT,0.5549095771620656
982,356QDHJ7 TO DW9W8Z9I,0.5519873404907152
375,7V9JCFSV TO F96H6I58,0.5414437569694477
792,F96H6I58 TO NINP5I8I,0.5349841542012764
263,2017_4 TO MXXBE2S3,0.5201246032430116
403,56QUJEMP TO 7V9JCFSV,0.5183867535842106
372,7V9JCFSV TO F5SXURFA,0.5055385044735701
606,8M9FQCNU TO NX42RPT2,0.5054589154895799
1116,2017_4 TO GQPNFE6B,0.4948228730230657
765,CDAJEXM8 TO HTFNIQDD,0.4931762190534687
400,7V9JCFSV TO QVXBKCSS,0.4892000853441082
619,NX42RPT2 TO XGBBFQWX,0.4864763619047258
783,CDAJEXM8 TO SMZ5P2JC,0.4824934598808584
399,7V9JCFSV TO Z56T9MF4,0.48177302260268856
937,DW9W8Z9I TO HTFNIQDD,0.4796318180119079
851,356QDHJ7 TO KF3CZPHV,0.4786425260775858
605,HTFNIQDD TO NX42RPT2,0.4739249855547703
1169,DW9W8Z9I TO XSJ9KCBQ,0.4720885463264544
1027,2017_8 TO GCGB74CJ,0.46885853437351227
55,7V9JCFSV TO T4S3K5ZT,0.46707870591487677
1056,2017_4 TO T9IJMSRB,0.46562431074644417
380,7V9JCFSV TO HTFNIQDD,0.46545712274708806
717,DW9W8Z9I TO F5SXURFA,0.46491557433612346
807,DW9W8Z9I TO F96H6I58,0.4644715805181821
352,DW9W8Z9I TO FQVMU8GU,0.4632961059398391
1157,2017_9 TO 56QUJEMP,0.4626651254632586
1161,DW9W8Z9I TO H3HIEFKV,0.4624672510587686
1086,CZQ57NCZ TO T8P7HT8E,0.4605556159501302
810,F96H6I58 TO H3HIEFKV,0.4599401728106542
618,DW9W8Z9I TO NX42RPT2,0.45864626796681696
1068,GQPNFE6B TO T9IJMSRB,0.45862744593294685
817,56QUJEMP TO F96H6I58,0.45862536861978
601,NX42RPT2 TO SFF232HX,0.4584742434745125
324,ABX4R7K5 TO FQVMU8GU,0.4579581488577394
925,8M9FQCNU TO HTFNIQDD,0.45566418155081173
1080,H3HIEFKV TO T8P7HT8E,0.4524457897946036
621,H3HIEFKV TO NX42RPT2,0.4519552661557338
794,F96H6I58 TO HTFNIQDD,0.4519161246921682
1109,2017_4 TO XGBBFQWX,0.4518752941790632
732,J7SB3TH5 TO KF3CZPHV,0.45121696264777844
620,2017_1 TO NX42RPT2,0.4511897903657864
1164,DW9W8Z9I TO Z56T9MF4,0.450340487994959
720,F5SXURFA TO H3HIEFKV,0.4502045737868091
607,356QDHJ7 TO NX42RPT2,0.4500227094039385
1088,T8P7HT8E TO XSJ9KCBQ,0.44973915197419984
378,7V9JCFSV TO NINP5I8I,0.449545302684821
1223,CZQ57NCZ TO XSJ9KCBQ,0.44861750309853615
1073,2017_4 TO T8P7HT8E,0.44668366628517003
704,F5SXURFA TO HTFNIQDD,0.4465736157711033
1162,DW9W8Z9I TO GCGB74CJ,0.4443626834094615
1117,2017_4 TO CZQ57NCZ,0.4441640885054634
798,2017_8 TO F96H6I58,0.4431906262615024
463,2017_8 TO ABX4R7K5,0.4422260608809595
976,356QDHJ7 TO T8P7HT8E,0.4414698679203838
355,FQVMU8GU TO H3HIEFKV,0.4413102945517996
1219,CZQ57NCZ TO GQPNFE6B,0.4407243246943838
476,ABX4R7K5 TO GCGB74CJ,0.4401990361549708
948,HTFNIQDD TO XSJ9KCBQ,0.4394220742549177
357,FQVMU8GU TO SMZ5P2JC,0.4390258975306336
1197,GCGB74CJ TO SMZ5P2JC,0.4379421545701359
811,F96H6I58 TO GCGB74CJ,0.43724192104343873
721,F5SXURFA TO GCGB74CJ,0.43714388731372505
984,2017_1 TO 356QDHJ7,0.4355023166885862
1110,2017_1 TO 2017_4,0.4341788207108561
331,F5SXURFA TO FQVMU8GU,0.43415038475160317
892,GCGB74CJ TO NINP5I8I,0.4332068703845216
1014,9T2T3NWW TO XSJ9KCBQ,0.43260060843453185
1115,2017_4 TO QVXBKCSS,0.43247417604461463
540,2017_10 TO T9IJMSRB,0.43137146554046485
759,J7SB3TH5 TO XSJ9KCBQ,0.4313606702695834
