,combination,sim
1072,2017_5 TO T8P7HT8E,0.6648729432625244
91,T4S3K5ZT TO Z56T9MF4,0.6393480857385355
1045,H3HIEFKV TO VM7EP4IA,0.5731071316628914
5,4IR7FP3G TO 9895DC6Q,0.5696057890863706
933,2017_4 TO HTFNIQDD,0.5544278315294577
699,F5SXURFA TO F96H6I58,0.5514415129894314
38,4IR7FP3G TO XGBBFQWX,0.5484503549775935
450,ABX4R7K5 TO EWDTT8PI,0.5452377459906584
365,7V9JCFSV TO ABX4R7K5,0.5370271267643614
481,ABX4R7K5 TO CZQ57NCZ,0.5367290235504942
306,2017_4 TO 9895DC6Q,0.5363411624097489
1056,2017_4 TO T9IJMSRB,0.5347313241731713
283,2017_11 TO 9895DC6Q,0.5340602439354107
543,2017_10 TO 2017_4,0.5326640110749523
308,2017_6 TO 9895DC6Q,0.5265259773529039
211,8M9FQCNU TO UQ4WC79E,0.5228775166697838
1216,CZQ57NCZ TO QVXBKCSS,0.5207655490399777
201,EWDTT8PI TO UQ4WC79E,0.5204053902460152
1154,2017_9 TO QVXBKCSS,0.5179605465072162
263,2017_4 TO MXXBE2S3,0.5178868283307719
303,9895DC6Q TO T9IJMSRB,0.5164020462940196
949,356QDHJ7 TO 8M9FQCNU,0.5158107785447169
681,2017_4 TO EWDTT8PI,0.514035055033953
796,356QDHJ7 TO F96H6I58,0.5127780353823967
402,7V9JCFSV TO CZQ57NCZ,0.5116009031023377
795,8M9FQCNU TO F96H6I58,0.5115446295772159
230,QVXBKCSS TO UQ4WC79E,0.5056987671081582
434,AFWXF8CH TO XGBBFQWX,0.504940683911049
260,MXXBE2S3 TO T9IJMSRB,0.5045966484206347
15,4IR7FP3G TO EWDTT8PI,0.5026465433865253
971,8M9FQCNU TO XSJ9KCBQ,0.5000430233760019
969,8M9FQCNU TO CZQ57NCZ,0.4992868183372393
241,2017_10 TO MXXBE2S3,0.4966115629584209
816,CZQ57NCZ TO F96H6I58,0.49628187168374027
167,356QDHJ7 TO GPBS8H6W,0.49499758711499675
1213,56QUJEMP TO Z56T9MF4,0.493476641800512
1131,2017_7 TO CZQ57NCZ,0.49340001005840173
417,AFWXF8CH TO KF3CZPHV,0.4917397840145632
540,2017_10 TO T9IJMSRB,0.4871980598337212
454,ABX4R7K5 TO F96H6I58,0.4869520022689
400,7V9JCFSV TO QVXBKCSS,0.48522677659457714
991,356QDHJ7 TO CZQ57NCZ,0.48381285248138584
33,2017_4 TO 4IR7FP3G,0.4837465533313975
814,F96H6I58 TO QVXBKCSS,0.48009808065575355
