,combination,sim
91,T4S3K5ZT TO Z56T9MF4,0.7394068921097502
72,HTFNIQDD TO T4S3K5ZT,0.7301635649674741
1213,56QUJEMP TO Z56T9MF4,0.6620723834844655
699,F5SXURFA TO F96H6I58,0.6578209263579566
375,7V9JCFSV TO F96H6I58,0.6401236036139698
943,HTFNIQDD TO Z56T9MF4,0.6396041972982648
95,56QUJEMP TO T4S3K5ZT,0.6225925242243346
702,F5SXURFA TO NINP5I8I,0.5677221845531792
403,56QUJEMP TO 7V9JCFSV,0.5631651796295555
792,F96H6I58 TO NINP5I8I,0.5511755092602828
982,356QDHJ7 TO DW9W8Z9I,0.551049374161442
947,56QUJEMP TO HTFNIQDD,0.5327582611908174
356,FQVMU8GU TO GCGB74CJ,0.5227011619978934
1186,2017_1 TO CZQ57NCZ,0.5209144184294601
783,CDAJEXM8 TO SMZ5P2JC,0.5191775109772244
817,56QUJEMP TO F96H6I58,0.5191752980701918
400,7V9JCFSV TO QVXBKCSS,0.5120210928514478
357,FQVMU8GU TO SMZ5P2JC,0.5064439184469457
601,NX42RPT2 TO SFF232HX,0.5039725674387743
619,NX42RPT2 TO XGBBFQWX,0.5009769556707963
759,J7SB3TH5 TO XSJ9KCBQ,0.4994177365536684
607,356QDHJ7 TO NX42RPT2,0.49007777064258096
605,HTFNIQDD TO NX42RPT2,0.48899966774978754
399,7V9JCFSV TO Z56T9MF4,0.4874486699099636
937,DW9W8Z9I TO HTFNIQDD,0.48583591002520743
378,7V9JCFSV TO NINP5I8I,0.48535331132993376
112,4C8T6PTV TO J7SB3TH5,0.48087342406120315
67,F96H6I58 TO T4S3K5ZT,0.47967700656616596
1169,DW9W8Z9I TO XSJ9KCBQ,0.474949424705296
794,F96H6I58 TO HTFNIQDD,0.47398692254927
892,GCGB74CJ TO NINP5I8I,0.47091776635575566
337,FQVMU8GU TO NINP5I8I,0.46834827342576535
380,7V9JCFSV TO HTFNIQDD,0.46611305410260706
765,CDAJEXM8 TO HTFNIQDD,0.466077902349866
55,7V9JCFSV TO T4S3K5ZT,0.46254177020452913
999,2017_4 TO 9T2T3NWW,0.46139395237041114
965,8M9FQCNU TO SMZ5P2JC,0.4612755014895076
382,356QDHJ7 TO 7V9JCFSV,0.460625398887487
263,2017_4 TO MXXBE2S3,0.45960625045657744
877,356QDHJ7 TO NINP5I8I,0.45865279107050383
372,7V9JCFSV TO F5SXURFA,0.4582523772134136
822,HTFNIQDD TO SFF232HX,0.45102850155307794
606,8M9FQCNU TO NX42RPT2,0.4504955016884624
1088,T8P7HT8E TO XSJ9KCBQ,0.4489718907780371
618,DW9W8Z9I TO NX42RPT2,0.44594131414602955
1197,GCGB74CJ TO SMZ5P2JC,0.4448349010312601
627,CZQ57NCZ TO NX42RPT2,0.4427251163067325
732,J7SB3TH5 TO KF3CZPHV,0.44225764186914684
620,2017_1 TO NX42RPT2,0.4419624395417263
901,8M9FQCNU TO AMDVNRNA,0.44149925771950604
462,9T2T3NWW TO ABX4R7K5,0.4401914676793677
340,8M9FQCNU TO FQVMU8GU,0.43853443800982395
339,FQVMU8GU TO HTFNIQDD,0.43719570191772383
774,2017_4 TO CDAJEXM8,0.4368934256376569
348,2017_4 TO FQVMU8GU,0.4362803309630453
964,8M9FQCNU TO GCGB74CJ,0.43516212212425354
1223,CZQ57NCZ TO XSJ9KCBQ,0.43382851918813325
328,FQVMU8GU TO NX42RPT2,0.4323573730593576
708,2017_8 TO F5SXURFA,0.4312101886015126
384,2017_8 TO 7V9JCFSV,0.43108813304077287
717,DW9W8Z9I TO F5SXURFA,0.4296343673184797
143,4C8T6PTV TO XSJ9KCBQ,0.42903605258078303
352,DW9W8Z9I TO FQVMU8GU,0.4287735110549413
1051,CZQ57NCZ TO VM7EP4IA,0.4284955804586189
926,356QDHJ7 TO HTFNIQDD,0.4272113271271849
824,356QDHJ7 TO SFF232HX,0.42718712894698085
876,8M9FQCNU TO NINP5I8I,0.42542294977783923
721,F5SXURFA TO GCGB74CJ,0.4249064670709205
927,9T2T3NWW TO HTFNIQDD,0.42454914957810463
621,H3HIEFKV TO NX42RPT2,0.42262205470827974
460,8M9FQCNU TO ABX4R7K5,0.42259329537658563
1014,9T2T3NWW TO XSJ9KCBQ,0.41904019537886095
1162,DW9W8Z9I TO GCGB74CJ,0.41772138672362336
813,F96H6I58 TO Z56T9MF4,0.41544708982951994
993,356QDHJ7 TO XSJ9KCBQ,0.41539241888619416
895,NINP5I8I TO QVXBKCSS,0.4138693862288265
988,356QDHJ7 TO Z56T9MF4,0.4136783825990855
898,56QUJEMP TO NINP5I8I,0.4126701455793531
402,7V9JCFSV TO CZQ57NCZ,0.4124753959893155
1068,GQPNFE6B TO T9IJMSRB,0.41152736827154235
622,GCGB74CJ TO NX42RPT2,0.4099058729656764
992,356QDHJ7 TO 56QUJEMP,0.40981263087129305
1030,2017_8 TO QVXBKCSS,0.40893863145638987
749,J7SB3TH5 TO XGBBFQWX,0.40803761627716617
1080,H3HIEFKV TO T8P7HT8E,0.4080100804246072
1219,CZQ57NCZ TO GQPNFE6B,0.4075776124802669
941,GCGB74CJ TO HTFNIQDD,0.40704177798136865
932,2017_5 TO HTFNIQDD,0.4069648858998792
972,356QDHJ7 TO 9T2T3NWW,0.40470609788656775
724,F5SXURFA TO QVXBKCSS,0.4046691383042451
798,2017_8 TO F96H6I58,0.4043562057215564
744,2017_4 TO J7SB3TH5,0.4042302313887137
374,7V9JCFSV TO CDAJEXM8,0.4035365504945786
369,7V9JCFSV TO NX42RPT2,0.4034976933807295
977,2017_5 TO 356QDHJ7,0.4018073278741803
322,7V9JCFSV TO FQVMU8GU,0.40153850039424155
479,ABX4R7K5 TO QVXBKCSS,0.40085054849104873
878,9T2T3NWW TO NINP5I8I,0.39956150923940226
1130,2017_7 TO GQPNFE6B,0.3995525725768845
333,CDAJEXM8 TO FQVMU8GU,0.39923102575804037
355,FQVMU8GU TO H3HIEFKV,0.3980500626845427
899,NINP5I8I TO XSJ9KCBQ,0.3979194934250221
395,2017_1 TO 7V9JCFSV,0.397554355188672
1157,2017_9 TO 56QUJEMP,0.3973057186275786
1012,9T2T3NWW TO CZQ57NCZ,0.39726564250211227
623,NX42RPT2 TO SMZ5P2JC,0.39721864858537514
1199,GCGB74CJ TO QVXBKCSS,0.39715864242236953
600,F96H6I58 TO NX42RPT2,0.3964172905216925
1119,2017_4 TO XSJ9KCBQ,0.39639175909891167
459,ABX4R7K5 TO HTFNIQDD,0.39613278763708637
636,5G8U33QZ TO KF3CZPHV,0.3955701018636648
704,F5SXURFA TO HTFNIQDD,0.3950330039545795
128,2017_4 TO 4C8T6PTV,0.39479570457770663
810,F96H6I58 TO H3HIEFKV,0.3945090028894893
468,2017_4 TO ABX4R7K5,0.3940515691873052
994,2017_8 TO 9T2T3NWW,0.3937671856936975
888,DW9W8Z9I TO NINP5I8I,0.39334755486243433
579,2017_4 TO 6UGSWD8D,0.3933020866747734
750,2017_1 TO J7SB3TH5,0.3932927777501689
948,HTFNIQDD TO XSJ9KCBQ,0.39317405279805895
453,ABX4R7K5 TO CDAJEXM8,0.3928351406430508
796,356QDHJ7 TO F96H6I58,0.3926574809885117
1184,2017_1 TO QVXBKCSS,0.392481211010399
807,DW9W8Z9I TO F96H6I58,0.3923766323904865
1171,H3HIEFKV TO XGBBFQWX,0.3922720237054895
815,F96H6I58 TO GQPNFE6B,0.3918505819910949
353,FQVMU8GU TO XGBBFQWX,0.3915085838464736
851,356QDHJ7 TO KF3CZPHV,0.3908820242371782
893,NINP5I8I TO SMZ5P2JC,0.3906013561851638
603,NINP5I8I TO NX42RPT2,0.3883956390435832
1194,CZQ57NCZ TO H3HIEFKV,0.3879622729072765
925,8M9FQCNU TO HTFNIQDD,0.38782113303819266
472,ABX4R7K5 TO DW9W8Z9I,0.38719962285944043
109,4C8T6PTV TO 5G8U33QZ,0.38671089601098463
598,J7SB3TH5 TO NX42RPT2,0.38668382639570176
1086,CZQ57NCZ TO T8P7HT8E,0.38558259386455496
789,CDAJEXM8 TO XSJ9KCBQ,0.3839538961451032
997,9T2T3NWW TO T8P7HT8E,0.3836452053325987
381,7V9JCFSV TO 8M9FQCNU,0.3834192693640259
998,2017_5 TO 9T2T3NWW,0.38322497146044676
1057,2017_7 TO T9IJMSRB,0.3820265663024367
738,9T2T3NWW TO J7SB3TH5,0.3815205358114966
632,5G8U33QZ TO J7SB3TH5,0.38011998679307435
74,356QDHJ7 TO T4S3K5ZT,0.37970746259060384
1109,2017_4 TO XGBBFQWX,0.37929751022685876
1072,2017_5 TO T8P7HT8E,0.3780242184978255
1117,2017_4 TO CZQ57NCZ,0.37796167697676286
1182,2017_1 TO SMZ5P2JC,0.3776183597211973
795,8M9FQCNU TO F96H6I58,0.37758444362156807
124,4C8T6PTV TO VM7EP4IA,0.37755693373745813
1113,2017_4 TO SMZ5P2JC,0.37747695927030556
1116,2017_4 TO GQPNFE6B,0.37707811251897305
1185,2017_1 TO GQPNFE6B,0.3769386561287491
1216,CZQ57NCZ TO QVXBKCSS,0.3768403790356294
873,KF3CZPHV TO XSJ9KCBQ,0.3767947629732442
768,9T2T3NWW TO CDAJEXM8,0.37657433608236757
467,2017_5 TO ABX4R7K5,0.3765522756446522
629,NX42RPT2 TO XSJ9KCBQ,0.37651420234435096
654,2017_1 TO 5G8U33QZ,0.3763980875315839
847,KF3CZPHV TO NINP5I8I,0.37617767245306166
984,2017_1 TO 356QDHJ7,0.37592073242457236
811,F96H6I58 TO GCGB74CJ,0.3756329296539136
814,F96H6I58 TO QVXBKCSS,0.3755181793647592
731,J7SB3TH5 TO SFF232HX,0.3748793201041154
1115,2017_4 TO QVXBKCSS,0.3735677060789011
332,FQVMU8GU TO J7SB3TH5,0.3735535931838412
1036,T8P7HT8E TO VM7EP4IA,0.3735240749521336
991,356QDHJ7 TO CZQ57NCZ,0.3734996576911246
1027,2017_8 TO GCGB74CJ,0.3734573171963551
609,2017_8 TO NX42RPT2,0.37344248032960936
1034,2017_8 TO XSJ9KCBQ,0.37334698740571204
361,CZQ57NCZ TO FQVMU8GU,0.37303752263035816
397,7V9JCFSV TO GCGB74CJ,0.37164731535833795
742,J7SB3TH5 TO T8P7HT8E,0.3700957465296786
331,F5SXURFA TO FQVMU8GU,0.3696903642403071
969,8M9FQCNU TO CZQ57NCZ,0.36946247871735194
933,2017_4 TO HTFNIQDD,0.3691817934055488
772,CDAJEXM8 TO T8P7HT8E,0.3689683941838382
401,7V9JCFSV TO GQPNFE6B,0.3686559084898533
1207,CZQ57NCZ TO SMZ5P2JC,0.3684985465566126
