,combination,sim
947,56QUJEMP TO HTFNIQDD,0.7018091935169409
1186,2017_1 TO CZQ57NCZ,0.5987512320045351
699,F5SXURFA TO F96H6I58,0.5857612792522634
810,F96H6I58 TO H3HIEFKV,0.5807893919588493
943,HTFNIQDD TO Z56T9MF4,0.5603724679064229
851,356QDHJ7 TO KF3CZPHV,0.5533450568585347
1164,DW9W8Z9I TO Z56T9MF4,0.5522791431601592
439,AFWXF8CH TO Z56T9MF4,0.5366033460793669
859,2017_7 TO KF3CZPHV,0.5315119081353652
1144,2017_6 TO CZQ57NCZ,0.5254081102087064
804,2017_7 TO F96H6I58,0.5180382365078128
1213,56QUJEMP TO Z56T9MF4,0.5145333958927835
813,F96H6I58 TO Z56T9MF4,0.5115096663429287
982,356QDHJ7 TO DW9W8Z9I,0.5076874227249388
1125,2017_7 TO H3HIEFKV,0.498588441015676
1154,2017_9 TO QVXBKCSS,0.49488890231177973
1108,2017_4 TO DW9W8Z9I,0.49464030197781717
934,2017_7 TO HTFNIQDD,0.49449483898617963
399,7V9JCFSV TO Z56T9MF4,0.4921512803069368
375,7V9JCFSV TO F96H6I58,0.4896844846932312
1165,DW9W8Z9I TO QVXBKCSS,0.4802601428311405
1147,2017_9 TO DW9W8Z9I,0.47514472430450017
765,CDAJEXM8 TO HTFNIQDD,0.47326575047415165
1056,2017_4 TO T9IJMSRB,0.4719032049813294
1224,56QUJEMP TO XSJ9KCBQ,0.4692795008573971
807,DW9W8Z9I TO F96H6I58,0.4690847247811507
1198,GCGB74CJ TO Z56T9MF4,0.46652864592501353
454,ABX4R7K5 TO F96H6I58,0.46491911821718224
1010,9T2T3NWW TO QVXBKCSS,0.46401191038749334
330,EWDTT8PI TO FQVMU8GU,0.46389572069415697
1146,2017_6 TO XSJ9KCBQ,0.4629914598343139
1089,2017_4 TO 2017_5,0.46110473368960325
1014,9T2T3NWW TO XSJ9KCBQ,0.4605319299582371
411,AFWXF8CH TO EWDTT8PI,0.45830377017387214
1110,2017_1 TO 2017_4,0.457192129903386
95,56QUJEMP TO T4S3K5ZT,0.45407051044009816
50,GPBS8H6W TO T4S3K5ZT,0.4532637271333573
636,5G8U33QZ TO KF3CZPHV,0.45292283505011677
1161,DW9W8Z9I TO H3HIEFKV,0.4523515845205126
942,HTFNIQDD TO SMZ5P2JC,0.4523457204770901
436,AFWXF8CH TO H3HIEFKV,0.4519805036642146
364,7V9JCFSV TO AFWXF8CH,0.451702217976401
607,356QDHJ7 TO NX42RPT2,0.4512982799587446
1003,9T2T3NWW TO DW9W8Z9I,0.4427968678183206
600,F96H6I58 TO NX42RPT2,0.4420477602002033
69,KF3CZPHV TO T4S3K5ZT,0.44177505564563
649,2017_7 TO 5G8U33QZ,0.4416783165703173
254,HTFNIQDD TO MXXBE2S3,0.44145839420887434
334,F96H6I58 TO FQVMU8GU,0.44067287301509306
935,2017_6 TO HTFNIQDD,0.4386190137184359
794,F96H6I58 TO HTFNIQDD,0.4381525738519403
811,F96H6I58 TO GCGB74CJ,0.43800690719981117
690,EWDTT8PI TO SMZ5P2JC,0.4379083913465439
1162,DW9W8Z9I TO GCGB74CJ,0.4378618428358242
1128,2017_7 TO Z56T9MF4,0.4357484608398603
1168,56QUJEMP TO DW9W8Z9I,0.435658308409572
862,DW9W8Z9I TO KF3CZPHV,0.4343132494669302
1114,2017_4 TO Z56T9MF4,0.43385521324932097
260,MXXBE2S3 TO T9IJMSRB,0.4331027730834053
615,2017_7 TO NX42RPT2,0.4329826258939379
1060,DW9W8Z9I TO T9IJMSRB,0.43255651777040627
849,HTFNIQDD TO KF3CZPHV,0.4317796213174083
691,EWDTT8PI TO Z56T9MF4,0.43170565662471383
592,6UGSWD8D TO CZQ57NCZ,0.43072776258539514
796,356QDHJ7 TO F96H6I58,0.4281273991899157
1208,56QUJEMP TO SMZ5P2JC,0.4281111746091284
940,H3HIEFKV TO HTFNIQDD,0.4273665061874373
420,AFWXF8CH TO HTFNIQDD,0.4265735278202527
266,2017_9 TO MXXBE2S3,0.4264355686096224
490,2017_11 TO J7SB3TH5,0.4261739633290764
585,2017_1 TO 6UGSWD8D,0.4257652323405674
688,EWDTT8PI TO H3HIEFKV,0.4256245538646961
927,9T2T3NWW TO HTFNIQDD,0.4255296302721687
966,8M9FQCNU TO Z56T9MF4,0.424383663687702
238,AFWXF8CH TO MXXBE2S3,0.4236836393947456
971,8M9FQCNU TO XSJ9KCBQ,0.42247157627182186
1080,H3HIEFKV TO T8P7HT8E,0.4219965816741351
720,F5SXURFA TO H3HIEFKV,0.4217403651422935
1124,2017_1 TO 2017_7,0.42050377446031484
946,CZQ57NCZ TO HTFNIQDD,0.42041030368740673
602,KF3CZPHV TO NX42RPT2,0.4202376630878537
1145,2017_6 TO 56QUJEMP,0.41901300333252367
430,2017_7 TO AFWXF8CH,0.4187492861434048
469,2017_7 TO ABX4R7K5,0.41844949138489895
1223,CZQ57NCZ TO XSJ9KCBQ,0.418106349183091
654,2017_1 TO 5G8U33QZ,0.41481262465163227
798,2017_8 TO F96H6I58,0.41471312793890913
415,AFWXF8CH TO F96H6I58,0.414443550280275
685,DW9W8Z9I TO EWDTT8PI,0.4141352150624258
1157,2017_9 TO 56QUJEMP,0.4134680541302318
380,7V9JCFSV TO HTFNIQDD,0.4132909180578537
939,2017_1 TO HTFNIQDD,0.41200192311920336
