,combination,sim
699,F5SXURFA TO F96H6I58,0.62179110280511
947,56QUJEMP TO HTFNIQDD,0.6172837273538792
943,HTFNIQDD TO Z56T9MF4,0.5999883326023439
1213,56QUJEMP TO Z56T9MF4,0.5883028896886244
72,HTFNIQDD TO T4S3K5ZT,0.5660421430517557
375,7V9JCFSV TO F96H6I58,0.5649040441536005
91,T4S3K5ZT TO Z56T9MF4,0.5600695530499415
1186,2017_1 TO CZQ57NCZ,0.5598328252169975
95,56QUJEMP TO T4S3K5ZT,0.5383315173322164
982,356QDHJ7 TO DW9W8Z9I,0.5293683984431904
399,7V9JCFSV TO Z56T9MF4,0.4897999751084502
810,F96H6I58 TO H3HIEFKV,0.4876491974241693
851,356QDHJ7 TO KF3CZPHV,0.4721135405478565
403,56QUJEMP TO 7V9JCFSV,0.47135423017138484
607,356QDHJ7 TO NX42RPT2,0.4706880253006628
765,CDAJEXM8 TO HTFNIQDD,0.46967182641200883
813,F96H6I58 TO Z56T9MF4,0.46347837808622433
817,56QUJEMP TO F96H6I58,0.4561295539289577
794,F96H6I58 TO HTFNIQDD,0.45606974820060514
702,F5SXURFA TO NINP5I8I,0.4536957899614473
356,FQVMU8GU TO GCGB74CJ,0.45256060500542716
1164,DW9W8Z9I TO Z56T9MF4,0.44717658572667685
937,DW9W8Z9I TO HTFNIQDD,0.44702205502419556
605,HTFNIQDD TO NX42RPT2,0.4415675703355129
1014,9T2T3NWW TO XSJ9KCBQ,0.439786062668549
380,7V9JCFSV TO HTFNIQDD,0.43970198608023037
999,2017_4 TO 9T2T3NWW,0.43255450680373464
807,DW9W8Z9I TO F96H6I58,0.4307306785858186
1162,DW9W8Z9I TO GCGB74CJ,0.4277916147797238
1223,CZQ57NCZ TO XSJ9KCBQ,0.4259674341856121
927,9T2T3NWW TO HTFNIQDD,0.4250393899251367
636,5G8U33QZ TO KF3CZPHV,0.4242464684568908
618,DW9W8Z9I TO NX42RPT2,0.42338997135727485
1169,DW9W8Z9I TO XSJ9KCBQ,0.42181256116083327
619,NX42RPT2 TO XGBBFQWX,0.4210892030257645
600,F96H6I58 TO NX42RPT2,0.4192325253609479
372,7V9JCFSV TO F5SXURFA,0.4177938265058792
792,F96H6I58 TO NINP5I8I,0.4167992207203574
1080,H3HIEFKV TO T8P7HT8E,0.41500333104937115
620,2017_1 TO NX42RPT2,0.41416427948902373
352,DW9W8Z9I TO FQVMU8GU,0.4140082200479474
67,F96H6I58 TO T4S3K5ZT,0.4124147119547412
988,356QDHJ7 TO Z56T9MF4,0.4109479319468494
796,356QDHJ7 TO F96H6I58,0.4103924400892137
942,HTFNIQDD TO SMZ5P2JC,0.4098289224257211
798,2017_8 TO F96H6I58,0.40953466683023276
1108,2017_4 TO DW9W8Z9I,0.40898467570826946
811,F96H6I58 TO GCGB74CJ,0.4068199184268624
1161,DW9W8Z9I TO H3HIEFKV,0.40676346455178763
1088,T8P7HT8E TO XSJ9KCBQ,0.40593979595251883
621,H3HIEFKV TO NX42RPT2,0.40555753758439156
1157,2017_9 TO 56QUJEMP,0.4053868863789052
1110,2017_1 TO 2017_4,0.4050883995366292
382,356QDHJ7 TO 7V9JCFSV,0.40404961159594993
328,FQVMU8GU TO NX42RPT2,0.4037773946186208
721,F5SXURFA TO GCGB74CJ,0.40352872477812735
804,2017_7 TO F96H6I58,0.4030065692481539
330,EWDTT8PI TO FQVMU8GU,0.4027767169328177
717,DW9W8Z9I TO F5SXURFA,0.4019111217062722
1068,GQPNFE6B TO T9IJMSRB,0.400009020275467
925,8M9FQCNU TO HTFNIQDD,0.39969835897818207
948,HTFNIQDD TO XSJ9KCBQ,0.39950386256119863
708,2017_8 TO F5SXURFA,0.3992329395614848
1056,2017_4 TO T9IJMSRB,0.397789204630969
606,8M9FQCNU TO NX42RPT2,0.3970716473535075
965,8M9FQCNU TO SMZ5P2JC,0.39666069224289147
654,2017_1 TO 5G8U33QZ,0.3956053560916081
348,2017_4 TO FQVMU8GU,0.39492422541195965
334,F96H6I58 TO FQVMU8GU,0.3944138670953856
1003,9T2T3NWW TO DW9W8Z9I,0.3928093315418868
783,CDAJEXM8 TO SMZ5P2JC,0.3913345163123174
892,GCGB74CJ TO NINP5I8I,0.38971632701501097
941,GCGB74CJ TO HTFNIQDD,0.3895333099616374
469,2017_7 TO ABX4R7K5,0.38910813890477963
1224,56QUJEMP TO XSJ9KCBQ,0.3877775797250951
579,2017_4 TO 6UGSWD8D,0.38693958633742187
69,KF3CZPHV TO T4S3K5ZT,0.38691336045594976
1012,9T2T3NWW TO CZQ57NCZ,0.3868220275777147
946,CZQ57NCZ TO HTFNIQDD,0.38621493086705505
1117,2017_4 TO CZQ57NCZ,0.3859836545642069
940,H3HIEFKV TO HTFNIQDD,0.38577844938275846
960,8M9FQCNU TO DW9W8Z9I,0.38575288749218706
759,J7SB3TH5 TO XSJ9KCBQ,0.38503211848115565
849,HTFNIQDD TO KF3CZPHV,0.3843347321029251
622,GCGB74CJ TO NX42RPT2,0.3833430180119941
779,CDAJEXM8 TO XGBBFQWX,0.38274643292040095
1010,9T2T3NWW TO QVXBKCSS,0.38155487673870414
926,356QDHJ7 TO HTFNIQDD,0.38061664395781547
260,MXXBE2S3 TO T9IJMSRB,0.37982464830625545
864,2017_1 TO KF3CZPHV,0.3798244587983668
369,7V9JCFSV TO NX42RPT2,0.37942449123307587
341,356QDHJ7 TO FQVMU8GU,0.3788136206542869
1188,2017_1 TO XSJ9KCBQ,0.37836189071953485
1168,56QUJEMP TO DW9W8Z9I,0.37805022037508407
1089,2017_4 TO 2017_5,0.37783055701347945
1165,DW9W8Z9I TO QVXBKCSS,0.3772363663121897
74,356QDHJ7 TO T4S3K5ZT,0.3757751869624713
1112,2017_4 TO GCGB74CJ,0.3752901948811608
1219,CZQ57NCZ TO GQPNFE6B,0.37322649964180005
847,KF3CZPHV TO NINP5I8I,0.37243981279312643
396,7V9JCFSV TO H3HIEFKV,0.3722918309742308
1119,2017_4 TO XSJ9KCBQ,0.3722489146701553
877,356QDHJ7 TO NINP5I8I,0.3721286120934248
1115,2017_4 TO QVXBKCSS,0.3710246327702903
627,CZQ57NCZ TO NX42RPT2,0.3709075235329556
357,FQVMU8GU TO SMZ5P2JC,0.37086894670817167
720,F5SXURFA TO H3HIEFKV,0.370498069696768
1086,CZQ57NCZ TO T8P7HT8E,0.3703496356679675
275,GQPNFE6B TO MXXBE2S3,0.3700011991971451
263,2017_4 TO MXXBE2S3,0.3697857015612026
85,DW9W8Z9I TO T4S3K5ZT,0.3685378219259265
939,2017_1 TO HTFNIQDD,0.3684601867162314
397,7V9JCFSV TO GCGB74CJ,0.36784423177527714
964,8M9FQCNU TO GCGB74CJ,0.36761717312306474
594,6UGSWD8D TO XSJ9KCBQ,0.36754918811870363
400,7V9JCFSV TO QVXBKCSS,0.3674669819069678
454,ABX4R7K5 TO F96H6I58,0.3674473548889316
1194,CZQ57NCZ TO H3HIEFKV,0.3673353195897824
254,HTFNIQDD TO MXXBE2S3,0.3671272373242639
178,DW9W8Z9I TO GPBS8H6W,0.3655151963850709
732,J7SB3TH5 TO KF3CZPHV,0.3640212955071086
1005,2017_1 TO 9T2T3NWW,0.3639268969065997
791,F96H6I58 TO KF3CZPHV,0.3633839686653597
1125,2017_7 TO H3HIEFKV,0.36244147394574516
971,8M9FQCNU TO XSJ9KCBQ,0.3622360979666456
745,2017_7 TO J7SB3TH5,0.3591902290323925
355,FQVMU8GU TO H3HIEFKV,0.3590161852629982
704,F5SXURFA TO HTFNIQDD,0.35889338182227437
402,7V9JCFSV TO CZQ57NCZ,0.35873722533555175
395,2017_1 TO 7V9JCFSV,0.3585946213645751
55,7V9JCFSV TO T4S3K5ZT,0.35668106733366844
1198,GCGB74CJ TO Z56T9MF4,0.35611037754954067
685,DW9W8Z9I TO EWDTT8PI,0.3553587804845066
1181,2017_1 TO GCGB74CJ,0.3551421332389773
641,356QDHJ7 TO 5G8U33QZ,0.35462497574059926
1072,2017_5 TO T8P7HT8E,0.35376335479031806
868,KF3CZPHV TO Z56T9MF4,0.353005071807051
824,356QDHJ7 TO SFF232HX,0.3528817280554497
624,NX42RPT2 TO Z56T9MF4,0.3522743499697239
724,F5SXURFA TO QVXBKCSS,0.3521516019504161
992,356QDHJ7 TO 56QUJEMP,0.3507043901877025
1026,2017_8 TO H3HIEFKV,0.35007728475887423
339,FQVMU8GU TO HTFNIQDD,0.34999441424597866
1057,2017_7 TO T9IJMSRB,0.3499231691279058
859,2017_7 TO KF3CZPHV,0.3496843090184671
690,EWDTT8PI TO SMZ5P2JC,0.34951497863101855
1116,2017_4 TO GQPNFE6B,0.34945449274085244
324,ABX4R7K5 TO FQVMU8GU,0.347071109712063
691,EWDTT8PI TO Z56T9MF4,0.3468704950946266
966,8M9FQCNU TO Z56T9MF4,0.34644819981190006
888,DW9W8Z9I TO NINP5I8I,0.3463957229054151
934,2017_7 TO HTFNIQDD,0.34632584477490397
364,7V9JCFSV TO AFWXF8CH,0.34631437547574845
614,2017_4 TO NX42RPT2,0.346249130169634
737,356QDHJ7 TO J7SB3TH5,0.3452534662987507
762,CDAJEXM8 TO KF3CZPHV,0.34522555392670573
