,combination,sim
699,F5SXURFA TO F96H6I58,0.754252753882324
91,T4S3K5ZT TO Z56T9MF4,0.6171091616065343
943,HTFNIQDD TO Z56T9MF4,0.5910870297654762
378,7V9JCFSV TO NINP5I8I,0.5774515370466642
606,8M9FQCNU TO NX42RPT2,0.5522946558947179
702,F5SXURFA TO NINP5I8I,0.5477994608010288
324,ABX4R7K5 TO FQVMU8GU,0.5467439943537638
792,F96H6I58 TO NINP5I8I,0.5424417073721879
982,356QDHJ7 TO DW9W8Z9I,0.536524753549521
798,2017_8 TO F96H6I58,0.5338581234188207
765,CDAJEXM8 TO HTFNIQDD,0.529042394378938
476,ABX4R7K5 TO GCGB74CJ,0.5238385130468066
375,7V9JCFSV TO F96H6I58,0.5126335609230906
772,CDAJEXM8 TO T8P7HT8E,0.5098223326594304
1169,DW9W8Z9I TO XSJ9KCBQ,0.5051156479201547
356,FQVMU8GU TO GCGB74CJ,0.5035791808891753
1213,56QUJEMP TO Z56T9MF4,0.4992164840787358
403,56QUJEMP TO 7V9JCFSV,0.4960896837673575
807,DW9W8Z9I TO F96H6I58,0.49507445817193907
334,F96H6I58 TO FQVMU8GU,0.4926035549025815
960,8M9FQCNU TO DW9W8Z9I,0.48965337178238444
1164,DW9W8Z9I TO Z56T9MF4,0.48892521647103343
1161,DW9W8Z9I TO H3HIEFKV,0.4883031311470182
779,CDAJEXM8 TO XGBBFQWX,0.48829633975086195
399,7V9JCFSV TO Z56T9MF4,0.4840409415188505
72,HTFNIQDD TO T4S3K5ZT,0.48228354445475596
810,F96H6I58 TO H3HIEFKV,0.4796779272609317
1189,GCGB74CJ TO H3HIEFKV,0.4785448786867922
96,T4S3K5ZT TO XSJ9KCBQ,0.4779963111736765
720,F5SXURFA TO H3HIEFKV,0.4779403226939949
672,EWDTT8PI TO HTFNIQDD,0.4772149606996476
352,DW9W8Z9I TO FQVMU8GU,0.47710614664293605
95,56QUJEMP TO T4S3K5ZT,0.4755381905931
1026,2017_8 TO H3HIEFKV,0.4750060293594256
1157,2017_9 TO 56QUJEMP,0.4736036638423613
372,7V9JCFSV TO F5SXURFA,0.472653344895733
1027,2017_8 TO GCGB74CJ,0.4724081933945402
981,2017_9 TO 356QDHJ7,0.4681383325056683
717,DW9W8Z9I TO F5SXURFA,0.4676747158586743
970,56QUJEMP TO 8M9FQCNU,0.4668935682993236
463,2017_8 TO ABX4R7K5,0.4659845462766117
331,F5SXURFA TO FQVMU8GU,0.4655248806389233
1099,2017_5 TO Z56T9MF4,0.4652266583877323
976,356QDHJ7 TO T8P7HT8E,0.46467817166399306
971,8M9FQCNU TO XSJ9KCBQ,0.46420037118153334
343,2017_8 TO FQVMU8GU,0.4629191384346181
708,2017_8 TO F5SXURFA,0.4597081494981294
167,356QDHJ7 TO GPBS8H6W,0.4591386931115992
543,2017_10 TO 2017_4,0.4582741308245003
1214,XSJ9KCBQ TO Z56T9MF4,0.45823553334639994
940,H3HIEFKV TO HTFNIQDD,0.4580043935228699
946,CZQ57NCZ TO HTFNIQDD,0.4567987259789052
972,356QDHJ7 TO 9T2T3NWW,0.45616800354561904
454,ABX4R7K5 TO F96H6I58,0.45592959416922346
1056,2017_4 TO T9IJMSRB,0.4556496682070685
787,CDAJEXM8 TO CZQ57NCZ,0.455647142925967
364,7V9JCFSV TO AFWXF8CH,0.4554825489465949
392,2017_9 TO 7V9JCFSV,0.45372266975643794
1108,2017_4 TO DW9W8Z9I,0.4527286524355879
831,2017_4 TO SFF232HX,0.4517850396820641
263,2017_4 TO MXXBE2S3,0.45102495289879774
355,FQVMU8GU TO H3HIEFKV,0.4496669551518479
