,combination,sim
606,8M9FQCNU TO NX42RPT2,0.7033006612360517
91,T4S3K5ZT TO Z56T9MF4,0.6811793105398031
95,56QUJEMP TO T4S3K5ZT,0.6807628143942067
1072,2017_5 TO T8P7HT8E,0.6662743189867847
943,HTFNIQDD TO Z56T9MF4,0.6447509556505859
1056,2017_4 TO T9IJMSRB,0.6051542010730785
400,7V9JCFSV TO QVXBKCSS,0.6027173421478004
426,AFWXF8CH TO T9IJMSRB,0.597223163111328
822,HTFNIQDD TO SFF232HX,0.5863755458599227
699,F5SXURFA TO F96H6I58,0.5833481729433493
72,HTFNIQDD TO T4S3K5ZT,0.5763651626416308
1061,T9IJMSRB TO XGBBFQWX,0.5715463487482425
623,NX42RPT2 TO SMZ5P2JC,0.5672189036200687
1109,2017_4 TO XGBBFQWX,0.5666334126491158
985,356QDHJ7 TO H3HIEFKV,0.5656864466897378
1213,56QUJEMP TO Z56T9MF4,0.5561148021067871
306,2017_4 TO 9895DC6Q,0.5403648604078866
403,56QUJEMP TO 7V9JCFSV,0.5371351386568888
67,F96H6I58 TO T4S3K5ZT,0.5335381264225817
477,ABX4R7K5 TO SMZ5P2JC,0.5315621189555753
30,4IR7FP3G TO T9IJMSRB,0.5313697043709947
308,2017_6 TO 9895DC6Q,0.5194201533220993
620,2017_1 TO NX42RPT2,0.5152133411418918
434,AFWXF8CH TO XGBBFQWX,0.5138547923204764
241,2017_10 TO MXXBE2S3,0.5115999810787768
386,7V9JCFSV TO T9IJMSRB,0.5046979179789596
440,AFWXF8CH TO QVXBKCSS,0.5031450142168911
1177,CZQ57NCZ TO XGBBFQWX,0.5029159337394926
472,ABX4R7K5 TO DW9W8Z9I,0.5020952469470664
116,4C8T6PTV TO KF3CZPHV,0.5013729399789676
605,HTFNIQDD TO NX42RPT2,0.4992165047434385
812,F96H6I58 TO SMZ5P2JC,0.4980067992272945
965,8M9FQCNU TO SMZ5P2JC,0.4979949973846698
448,ABX4R7K5 TO NX42RPT2,0.49732623276111565
38,4IR7FP3G TO XGBBFQWX,0.4962125289270338
627,CZQ57NCZ TO NX42RPT2,0.49585389993187245
1067,QVXBKCSS TO T9IJMSRB,0.4938025518283736
260,MXXBE2S3 TO T9IJMSRB,0.49000437377518047
55,7V9JCFSV TO T4S3K5ZT,0.4899931753716884
1186,2017_1 TO CZQ57NCZ,0.4881750874753399
303,9895DC6Q TO T9IJMSRB,0.4868803700338593
311,9895DC6Q TO XGBBFQWX,0.4779112129297465
934,2017_7 TO HTFNIQDD,0.4743210986571085
1116,2017_4 TO GQPNFE6B,0.4739315240985664
165,GPBS8H6W TO HTFNIQDD,0.47377534436668345
479,ABX4R7K5 TO QVXBKCSS,0.4733733946132008
451,ABX4R7K5 TO F5SXURFA,0.47118571045122803
469,2017_7 TO ABX4R7K5,0.47108121669115777
947,56QUJEMP TO HTFNIQDD,0.4699039052277505
398,7V9JCFSV TO SMZ5P2JC,0.46907602109457347
395,2017_1 TO 7V9JCFSV,0.46671988692350985
286,9895DC6Q TO NX42RPT2,0.4662557691636271
849,HTFNIQDD TO KF3CZPHV,0.4661114564081855
851,356QDHJ7 TO KF3CZPHV,0.4630725980263425
375,7V9JCFSV TO F96H6I58,0.462662324330827
263,2017_4 TO MXXBE2S3,0.4584256726393505
46,4IR7FP3G TO CZQ57NCZ,0.4563247467019864
232,CZQ57NCZ TO UQ4WC79E,0.4562647656296829
607,356QDHJ7 TO NX42RPT2,0.4553996252600596
1137,2017_1 TO 2017_6,0.4529105276376091
391,2017_6 TO 7V9JCFSV,0.4527137803600213
817,56QUJEMP TO F96H6I58,0.4515203343225245
861,2017_9 TO KF3CZPHV,0.4498015012581369
543,2017_10 TO 2017_4,0.4497255055378223
154,GPBS8H6W TO NX42RPT2,0.4496544892642915
39,2017_1 TO 4IR7FP3G,0.44891277297735777
540,2017_10 TO T9IJMSRB,0.44845057800730503
131,2017_9 TO 4C8T6PTV,0.4468184809369544
365,7V9JCFSV TO ABX4R7K5,0.4467015334352823
235,9895DC6Q TO MXXBE2S3,0.4459667871172779
399,7V9JCFSV TO Z56T9MF4,0.4459474742790691
732,J7SB3TH5 TO KF3CZPHV,0.44350713467612846
1153,2017_9 TO Z56T9MF4,0.439143997667961
721,F5SXURFA TO GCGB74CJ,0.4386127943369498
1127,2017_7 TO SMZ5P2JC,0.4384358470687417
1120,2017_6 TO 2017_7,0.4383807132446662
199,NX42RPT2 TO UQ4WC79E,0.4374081979458815
868,KF3CZPHV TO Z56T9MF4,0.4368385665380281
1058,2017_6 TO T9IJMSRB,0.4365564968115878
188,56QUJEMP TO GPBS8H6W,0.4351886981376447
369,7V9JCFSV TO NX42RPT2,0.4342603969124891
143,4C8T6PTV TO XSJ9KCBQ,0.43409943939289497
1094,2017_5 TO XGBBFQWX,0.43376483623017936
1069,CZQ57NCZ TO T9IJMSRB,0.4335851243521456
280,7V9JCFSV TO 9895DC6Q,0.43349750414716604
1157,2017_9 TO 56QUJEMP,0.4331144587584822
69,KF3CZPHV TO T4S3K5ZT,0.4318329012881206
1207,CZQ57NCZ TO SMZ5P2JC,0.43096465212244306
987,356QDHJ7 TO SMZ5P2JC,0.430354852291319
90,SMZ5P2JC TO T4S3K5ZT,0.4296469763436963
