,combination,sim
91,T4S3K5ZT TO Z56T9MF4,0.7510407405693879
699,F5SXURFA TO F96H6I58,0.6707632335148226
943,HTFNIQDD TO Z56T9MF4,0.6451169388374781
375,7V9JCFSV TO F96H6I58,0.568845172143978
1026,2017_8 TO H3HIEFKV,0.5516981176155001
798,2017_8 TO F96H6I58,0.550919461676104
399,7V9JCFSV TO Z56T9MF4,0.5508198373221868
397,7V9JCFSV TO GCGB74CJ,0.5485971458875146
403,56QUJEMP TO 7V9JCFSV,0.5464500323184687
1157,2017_9 TO 56QUJEMP,0.5433451408954288
382,356QDHJ7 TO 7V9JCFSV,0.540522770896413
702,F5SXURFA TO NINP5I8I,0.5306191311379955
796,356QDHJ7 TO F96H6I58,0.5286727459129126
1213,56QUJEMP TO Z56T9MF4,0.5266641524786669
672,EWDTT8PI TO HTFNIQDD,0.5245359876515229
982,356QDHJ7 TO DW9W8Z9I,0.5217089871226733
792,F96H6I58 TO NINP5I8I,0.5180970881067952
765,CDAJEXM8 TO HTFNIQDD,0.5160921971035369
396,7V9JCFSV TO H3HIEFKV,0.5134416787726959
988,356QDHJ7 TO Z56T9MF4,0.5036018626700514
981,2017_9 TO 356QDHJ7,0.5017998081564621
606,8M9FQCNU TO NX42RPT2,0.5013794610512604
1215,GQPNFE6B TO QVXBKCSS,0.49833041342704165
759,J7SB3TH5 TO XSJ9KCBQ,0.4961319608506882
1049,QVXBKCSS TO VM7EP4IA,0.4926653995878303
708,2017_8 TO F5SXURFA,0.4923892584147157
720,F5SXURFA TO H3HIEFKV,0.4899989895003758
95,56QUJEMP TO T4S3K5ZT,0.48951239800293544
297,9895DC6Q TO HTFNIQDD,0.4876478833341438
949,356QDHJ7 TO 8M9FQCNU,0.48601179693890895
392,2017_9 TO 7V9JCFSV,0.48405762739088853
960,8M9FQCNU TO DW9W8Z9I,0.48314489930430526
72,HTFNIQDD TO T4S3K5ZT,0.4823226650415797
879,2017_8 TO NINP5I8I,0.47734277597039676
892,GCGB74CJ TO NINP5I8I,0.4772560872300926
378,7V9JCFSV TO NINP5I8I,0.47253643566376
810,F96H6I58 TO H3HIEFKV,0.4717740744947778
1099,2017_5 TO Z56T9MF4,0.4703797006042836
824,356QDHJ7 TO SFF232HX,0.46908985892594335
972,356QDHJ7 TO 9T2T3NWW,0.4684836385915363
928,2017_8 TO HTFNIQDD,0.4664237263773652
749,J7SB3TH5 TO XGBBFQWX,0.46552056961675736
372,7V9JCFSV TO F5SXURFA,0.4626521967515087
607,356QDHJ7 TO NX42RPT2,0.4604200682815267
324,ABX4R7K5 TO FQVMU8GU,0.45890427962974933
779,CDAJEXM8 TO XGBBFQWX,0.4581420333629156
970,56QUJEMP TO 8M9FQCNU,0.45808198088991214
