,combination,sim
364,7V9JCFSV TO AFWXF8CH,0.6274298025801842
807,DW9W8Z9I TO F96H6I58,0.5981591506295418
1164,DW9W8Z9I TO Z56T9MF4,0.5590980976346558
658,5G8U33QZ TO Z56T9MF4,0.5580048886489768
1005,2017_1 TO 9T2T3NWW,0.5391529312526967
606,8M9FQCNU TO NX42RPT2,0.52615065897519
999,2017_4 TO 9T2T3NWW,0.5240169404812423
1161,DW9W8Z9I TO H3HIEFKV,0.5195867532783222
804,2017_7 TO F96H6I58,0.5130654818008156
813,F96H6I58 TO Z56T9MF4,0.5108749248013242
713,2017_4 TO F5SXURFA,0.506185197635843
334,F96H6I58 TO FQVMU8GU,0.5027579286249463
300,9895DC6Q TO 9T2T3NWW,0.4923345524252589
1014,9T2T3NWW TO XSJ9KCBQ,0.4919963118454964
331,F5SXURFA TO FQVMU8GU,0.48577366869653393
649,2017_7 TO 5G8U33QZ,0.48558275042011334
415,AFWXF8CH TO F96H6I58,0.48273475710337754
393,7V9JCFSV TO DW9W8Z9I,0.4826738611261048
634,5G8U33QZ TO F96H6I58,0.4757808831798923
440,AFWXF8CH TO QVXBKCSS,0.4747698595590806
439,AFWXF8CH TO Z56T9MF4,0.47420357063213414
451,ABX4R7K5 TO F5SXURFA,0.4725349488023681
1198,GCGB74CJ TO Z56T9MF4,0.4717196282189118
810,F96H6I58 TO H3HIEFKV,0.46898986362499206
399,7V9JCFSV TO Z56T9MF4,0.4686044665165624
1110,2017_1 TO 2017_4,0.4680086916181807
321,9895DC6Q TO XSJ9KCBQ,0.4651001021615324
811,F96H6I58 TO GCGB74CJ,0.4639915403453435
809,2017_1 TO F96H6I58,0.45843361385083714
1189,GCGB74CJ TO H3HIEFKV,0.4575214546040476
609,2017_8 TO NX42RPT2,0.4563810080002737
1147,2017_9 TO DW9W8Z9I,0.4531817771273765
506,2017_11 TO 2017_4,0.4507979471418372
1128,2017_7 TO Z56T9MF4,0.4501215057350296
723,F5SXURFA TO Z56T9MF4,0.44787035678776244
732,J7SB3TH5 TO KF3CZPHV,0.4473533217792687
330,EWDTT8PI TO FQVMU8GU,0.44723989747203596
737,356QDHJ7 TO J7SB3TH5,0.44704541074955073
719,2017_1 TO F5SXURFA,0.4466070134997471
1010,9T2T3NWW TO QVXBKCSS,0.44658384405241924
312,2017_1 TO 9895DC6Q,0.44548511666978585
433,AFWXF8CH TO DW9W8Z9I,0.4441338726879821
341,356QDHJ7 TO FQVMU8GU,0.44300143631452116
1089,2017_4 TO 2017_5,0.44198639605490386
356,FQVMU8GU TO GCGB74CJ,0.44058836598996487
1125,2017_7 TO H3HIEFKV,0.43812086915746273
328,FQVMU8GU TO NX42RPT2,0.4373203162475099
674,356QDHJ7 TO EWDTT8PI,0.43719669267497463
436,AFWXF8CH TO H3HIEFKV,0.4368781615109957
1114,2017_4 TO Z56T9MF4,0.4358110851180652
358,FQVMU8GU TO Z56T9MF4,0.4355608129639581
687,2017_1 TO EWDTT8PI,0.43376882327289845
530,2017_10 TO SFF232HX,0.4323325583154044
760,CDAJEXM8 TO F96H6I58,0.43194661455628514
435,2017_1 TO AFWXF8CH,0.43141708676496937
348,2017_4 TO FQVMU8GU,0.43077640792213145
349,2017_7 TO FQVMU8GU,0.43027252612306954
42,4IR7FP3G TO SMZ5P2JC,0.4288209011334929
411,AFWXF8CH TO EWDTT8PI,0.42768160951099476
375,7V9JCFSV TO F96H6I58,0.4266986677989395
85,DW9W8Z9I TO T4S3K5ZT,0.4264745424182763
66,CDAJEXM8 TO T4S3K5ZT,0.42592066476929746
1056,2017_4 TO T9IJMSRB,0.4256924965515355
631,5G8U33QZ TO F5SXURFA,0.42316755675813866
699,F5SXURFA TO F96H6I58,0.4208604140599841
499,2017_11 TO 356QDHJ7,0.41935824717256254
1122,2017_7 TO DW9W8Z9I,0.41905310518631367
531,2017_10 TO KF3CZPHV,0.4170357404736076
761,CDAJEXM8 TO SFF232HX,0.41640067709191053
412,AFWXF8CH TO F5SXURFA,0.4152058231042749
430,2017_7 TO AFWXF8CH,0.41497905941591173
528,2017_10 TO CDAJEXM8,0.41375762081576273
777,2017_9 TO CDAJEXM8,0.4120097376812042
666,CDAJEXM8 TO EWDTT8PI,0.40984518341498166
1154,2017_9 TO QVXBKCSS,0.4093104487615161
1218,QVXBKCSS TO XSJ9KCBQ,0.4091985629454655
667,EWDTT8PI TO F96H6I58,0.4076774638278422
781,CDAJEXM8 TO H3HIEFKV,0.407082307247824
806,2017_9 TO F96H6I58,0.40603453092159614
652,5G8U33QZ TO DW9W8Z9I,0.405731232811646
167,356QDHJ7 TO GPBS8H6W,0.404245101049582
432,2017_9 TO AFWXF8CH,0.4029182641392304
1191,H3HIEFKV TO Z56T9MF4,0.40246898663231323
601,NX42RPT2 TO SFF232HX,0.40240025434227567
691,EWDTT8PI TO Z56T9MF4,0.4020230686911739
510,2017_11 TO DW9W8Z9I,0.4017273466642941
681,2017_4 TO EWDTT8PI,0.40106901672990714
352,DW9W8Z9I TO FQVMU8GU,0.4010046509827493
372,7V9JCFSV TO F5SXURFA,0.400538380992436
1112,2017_4 TO GCGB74CJ,0.40030151754335974
1007,9T2T3NWW TO GCGB74CJ,0.3993742772483422
716,2017_9 TO F5SXURFA,0.3991460826740313
1062,2017_1 TO T9IJMSRB,0.39912503477908157
946,CZQ57NCZ TO HTFNIQDD,0.3978534266511742
675,9T2T3NWW TO EWDTT8PI,0.3977286400188704
1149,2017_1 TO 2017_9,0.39745089170566594
325,2017_11 TO FQVMU8GU,0.39741014124493845
1223,CZQ57NCZ TO XSJ9KCBQ,0.39672229082709565
1115,2017_4 TO QVXBKCSS,0.3960296275854247
987,356QDHJ7 TO SMZ5P2JC,0.3947700468578996
1073,2017_4 TO T8P7HT8E,0.39419298644947065
540,2017_10 TO T9IJMSRB,0.3936874435537294
620,2017_1 TO NX42RPT2,0.3932248479437742
449,5G8U33QZ TO ABX4R7K5,0.39278142865118904
972,356QDHJ7 TO 9T2T3NWW,0.3927611960905142
1162,DW9W8Z9I TO GCGB74CJ,0.3909916862414313
1055,2017_5 TO T9IJMSRB,0.3907875418049771
772,CDAJEXM8 TO T8P7HT8E,0.39073213978387056
329,5G8U33QZ TO FQVMU8GU,0.39015793555856093
503,2017_11 TO T9IJMSRB,0.3895905800405419
537,2017_10 TO 9T2T3NWW,0.38925630617088014
778,CDAJEXM8 TO DW9W8Z9I,0.3887431548712017
414,AFWXF8CH TO CDAJEXM8,0.3875491484181386
1072,2017_5 TO T8P7HT8E,0.3853270400622266
279,9895DC6Q TO FQVMU8GU,0.3849637894338245
342,9T2T3NWW TO FQVMU8GU,0.3838868838970829
288,9895DC6Q TO EWDTT8PI,0.38366997723729535
478,ABX4R7K5 TO Z56T9MF4,0.383504759104329
355,FQVMU8GU TO H3HIEFKV,0.3831585555903638
798,2017_8 TO F96H6I58,0.3830241058426458
423,9T2T3NWW TO AFWXF8CH,0.3829566244136722
1184,2017_1 TO QVXBKCSS,0.3827043879988301
1054,T8P7HT8E TO T9IJMSRB,0.3826124785378937
489,2017_11 TO F5SXURFA,0.38255429650289074
500,2017_11 TO 9T2T3NWW,0.3820589754329221
317,9895DC6Q TO QVXBKCSS,0.3815960776084789
943,HTFNIQDD TO Z56T9MF4,0.38144296842588177
33,2017_4 TO 4IR7FP3G,0.3805222909727154
392,2017_9 TO 7V9JCFSV,0.37959420809491995
655,5G8U33QZ TO H3HIEFKV,0.3795305114971721
978,2017_4 TO 356QDHJ7,0.37879897222705483
714,2017_7 TO F5SXURFA,0.37861566215826936
692,EWDTT8PI TO QVXBKCSS,0.3778234938372347
55,7V9JCFSV TO T4S3K5ZT,0.37691745910917795
1188,2017_1 TO XSJ9KCBQ,0.3761098662409832
784,CDAJEXM8 TO Z56T9MF4,0.3739668284578873
486,2017_11 TO NX42RPT2,0.37348102934280747
1155,2017_9 TO GQPNFE6B,0.3733403485812061
474,2017_1 TO ABX4R7K5,0.3730853259708745
996,9T2T3NWW TO T9IJMSRB,0.37290419120992535
707,9T2T3NWW TO F5SXURFA,0.37267736120880246
549,2017_1 TO 2017_10,0.3726666271357968
127,2017_5 TO 4C8T6PTV,0.3718323169024902
289,9895DC6Q TO F5SXURFA,0.37123703355358173
774,2017_4 TO CDAJEXM8,0.3703468333097131
201,EWDTT8PI TO UQ4WC79E,0.3697729977964903
400,7V9JCFSV TO QVXBKCSS,0.3691277286249366
796,356QDHJ7 TO F96H6I58,0.368202428809032
728,F5SXURFA TO XSJ9KCBQ,0.3680658517392815
966,8M9FQCNU TO Z56T9MF4,0.3672305178882318
505,2017_11 TO 2017_5,0.3671694958107061
618,DW9W8Z9I TO NX42RPT2,0.36709210091260414
600,F96H6I58 TO NX42RPT2,0.3669938705390351
1107,2017_4 TO 2017_9,0.3668410668976432
374,7V9JCFSV TO CDAJEXM8,0.3663261677098457
410,5G8U33QZ TO AFWXF8CH,0.3662041005277944
997,9T2T3NWW TO T8P7HT8E,0.36613971796970346
323,AFWXF8CH TO FQVMU8GU,0.36606101667888313
989,356QDHJ7 TO QVXBKCSS,0.3659608818095611
385,7V9JCFSV TO VM7EP4IA,0.3659090707101642
516,2017_11 TO Z56T9MF4,0.3657175339336135
354,2017_1 TO FQVMU8GU,0.36553536050537017
982,356QDHJ7 TO DW9W8Z9I,0.36545771283239137
260,MXXBE2S3 TO T9IJMSRB,0.36532647636564564
984,2017_1 TO 356QDHJ7,0.3644041686319005
306,2017_4 TO 9895DC6Q,0.36416633178165636
1131,2017_7 TO CZQ57NCZ,0.3641309267767402
981,2017_9 TO 356QDHJ7,0.3637056339215887
706,356QDHJ7 TO F5SXURFA,0.36340040793962736
1111,2017_4 TO H3HIEFKV,0.3629768575622616
720,F5SXURFA TO H3HIEFKV,0.36213921797845183
395,2017_1 TO 7V9JCFSV,0.36179325474606405
1059,2017_9 TO T9IJMSRB,0.36146813812368683
441,AFWXF8CH TO GQPNFE6B,0.3613331630608405
782,CDAJEXM8 TO GCGB74CJ,0.3610581837112913
717,DW9W8Z9I TO F5SXURFA,0.35866669680284347
509,2017_11 TO 2017_9,0.35824597127120783
128,2017_4 TO 4C8T6PTV,0.3582400136028774
1108,2017_4 TO DW9W8Z9I,0.3580023266219369
5,4IR7FP3G TO 9895DC6Q,0.3579497234160185
396,7V9JCFSV TO H3HIEFKV,0.35744234585062007
551,2017_10 TO GCGB74CJ,0.3571987053973229
1100,2017_5 TO QVXBKCSS,0.3561697831273162
1106,2017_4 TO 2017_6,0.35614601495623877
525,2017_10 TO EWDTT8PI,0.3560061238942418
1079,2017_1 TO T8P7HT8E,0.35499410159587275
585,2017_1 TO 6UGSWD8D,0.3545513640170579
1044,2017_1 TO VM7EP4IA,0.35455065363464067
689,EWDTT8PI TO GCGB74CJ,0.3545502963350501
512,2017_1 TO 2017_11,0.3542441695817089
768,9T2T3NWW TO CDAJEXM8,0.35402892609022185
664,EWDTT8PI TO F5SXURFA,0.35356852554668683
542,2017_10 TO 2017_5,0.35347783442767233
1060,DW9W8Z9I TO T9IJMSRB,0.35330898270554645
488,2017_11 TO EWDTT8PI,0.3531594209734452
685,DW9W8Z9I TO EWDTT8PI,0.35275987773676987
794,F96H6I58 TO HTFNIQDD,0.3527578643320952
608,9T2T3NWW TO NX42RPT2,0.35254149141949886
1150,2017_9 TO H3HIEFKV,0.3524108214750725
718,F5SXURFA TO XGBBFQWX,0.3523511956536476
780,2017_1 TO CDAJEXM8,0.3523433275460215
546,2017_10 TO 2017_9,0.35214686793931826
763,CDAJEXM8 TO NINP5I8I,0.35205169423624905
710,F5SXURFA TO T9IJMSRB,0.35197241949145974
1113,2017_4 TO SMZ5P2JC,0.3517574024767516
1183,2017_1 TO Z56T9MF4,0.35137415850077325
91,T4S3K5ZT TO Z56T9MF4,0.3513195057586187
1205,QVXBKCSS TO SMZ5P2JC,0.3512673522553378
87,2017_1 TO T4S3K5ZT,0.3512292312907166
434,AFWXF8CH TO XGBBFQWX,0.3510344733449199
668,EWDTT8PI TO SFF232HX,0.35078760510584317
765,CDAJEXM8 TO HTFNIQDD,0.3503895537855115
998,2017_5 TO 9T2T3NWW,0.34962621140093253
654,2017_1 TO 5G8U33QZ,0.34955105554421395
579,2017_4 TO 6UGSWD8D,0.3493919975876052
523,2017_10 TO NX42RPT2,0.3485888468402901
361,CZQ57NCZ TO FQVMU8GU,0.34827461552486905
795,8M9FQCNU TO F96H6I58,0.3481281526826686
564,6UGSWD8D TO CDAJEXM8,0.34809060678459136
11,2017_10 TO 4IR7FP3G,0.3478591061596399
615,2017_7 TO NX42RPT2,0.34734431013395817
67,F96H6I58 TO T4S3K5ZT,0.34628731057818607
835,DW9W8Z9I TO SFF232HX,0.34529056660163837
422,356QDHJ7 TO AFWXF8CH,0.34454540962982716
690,EWDTT8PI TO SMZ5P2JC,0.3441999117056269
484,2017_10 TO 2017_11,0.3440598469978797
552,2017_10 TO SMZ5P2JC,0.34379993298945744
578,2017_5 TO 6UGSWD8D,0.3437486154802818
823,8M9FQCNU TO SFF232HX,0.3431491087741194
283,2017_11 TO 9895DC6Q,0.34281454885029805
536,2017_10 TO 356QDHJ7,0.3427887079357872
1153,2017_9 TO Z56T9MF4,0.34251413472485737
624,NX42RPT2 TO Z56T9MF4,0.3421867961675109
27,4IR7FP3G TO 9T2T3NWW,0.3417365005097579
890,2017_1 TO NINP5I8I,0.3415410986480061
74,356QDHJ7 TO T4S3K5ZT,0.34052802218997336
243,MXXBE2S3 TO NX42RPT2,0.34027705277226517
988,356QDHJ7 TO Z56T9MF4,0.34021027821422467
454,ABX4R7K5 TO F96H6I58,0.3397289121486672
767,356QDHJ7 TO CDAJEXM8,0.3393371571819982
299,356QDHJ7 TO 9895DC6Q,0.3391595543719037
901,8M9FQCNU TO AMDVNRNA,0.33825143170014793
1126,2017_7 TO GCGB74CJ,0.33732059181172325
1095,2017_1 TO 2017_5,0.337286481952643
204,CDAJEXM8 TO UQ4WC79E,0.33698430130059576
694,CZQ57NCZ TO EWDTT8PI,0.33619680957838183
444,AFWXF8CH TO XSJ9KCBQ,0.3356488774107125
296,9895DC6Q TO AMDVNRNA,0.3355678227709087
383,7V9JCFSV TO 9T2T3NWW,0.3353821013611906
1163,DW9W8Z9I TO SMZ5P2JC,0.3349351222843613
816,CZQ57NCZ TO F96H6I58,0.33482482147361625
1119,2017_4 TO XSJ9KCBQ,0.33411623671732094
830,2017_5 TO SFF232HX,0.3339222928685157
927,9T2T3NWW TO HTFNIQDD,0.3338493610838187
803,2017_4 TO F96H6I58,0.3338395591892035
1171,H3HIEFKV TO XGBBFQWX,0.3338023621397179
1092,2017_5 TO 2017_9,0.3337235137634219
81,2017_4 TO T4S3K5ZT,0.3336641561109175
1160,2017_1 TO DW9W8Z9I,0.3327915793920907
853,2017_8 TO KF3CZPHV,0.3319985646450728
688,EWDTT8PI TO H3HIEFKV,0.33194952750277007
843,GQPNFE6B TO SFF232HX,0.3319096291735588
903,9T2T3NWW TO AMDVNRNA,0.3318405701033129
359,FQVMU8GU TO QVXBKCSS,0.3317517208969972
280,7V9JCFSV TO 9895DC6Q,0.3315679750488645
111,4C8T6PTV TO F5SXURFA,0.3309135747048251
1124,2017_1 TO 2017_7,0.3307228061194303
304,9895DC6Q TO T8P7HT8E,0.33045955019507345
448,ABX4R7K5 TO NX42RPT2,0.3303610160016476
1101,2017_5 TO GQPNFE6B,0.32999739160550723
1116,2017_4 TO GQPNFE6B,0.32993629564148497
371,7V9JCFSV TO EWDTT8PI,0.32979925913913943
1197,GCGB74CJ TO SMZ5P2JC,0.32973024622084446
622,GCGB74CJ TO NX42RPT2,0.3296395152642284
1068,GQPNFE6B TO T9IJMSRB,0.3289976848291776
1002,2017_9 TO 9T2T3NWW,0.3289515493777697
831,2017_4 TO SFF232HX,0.32883607026177475
72,HTFNIQDD TO T4S3K5ZT,0.32814841630953295
721,F5SXURFA TO GCGB74CJ,0.3281470185824602
286,9895DC6Q TO NX42RPT2,0.3279145886045154
203,J7SB3TH5 TO UQ4WC79E,0.3278697160376852
1213,56QUJEMP TO Z56T9MF4,0.32781038050797906
125,4C8T6PTV TO T9IJMSRB,0.32771703494113025
1181,2017_1 TO GCGB74CJ,0.32769998874927564
559,6UGSWD8D TO NX42RPT2,0.3273954767045293
641,356QDHJ7 TO 5G8U33QZ,0.32720863355826035
1134,2017_6 TO 2017_9,0.3271542694820482
939,2017_1 TO HTFNIQDD,0.32712175918073627
726,CZQ57NCZ TO F5SXURFA,0.3271059612468866
837,2017_1 TO SFF232HX,0.3262171437779735
739,2017_8 TO J7SB3TH5,0.3262141587508156
507,2017_11 TO 2017_7,0.32575161792903373
1152,2017_9 TO SMZ5P2JC,0.3257500484062822
84,2017_9 TO T4S3K5ZT,0.3254528140942685
582,2017_9 TO 6UGSWD8D,0.32491708575176403
324,ABX4R7K5 TO FQVMU8GU,0.32489545382454166
492,2017_11 TO F96H6I58,0.3248366935468585
553,2017_10 TO Z56T9MF4,0.32482139043009606
625,NX42RPT2 TO QVXBKCSS,0.324264234899158
513,2017_11 TO H3HIEFKV,0.3241112336781714
960,8M9FQCNU TO DW9W8Z9I,0.3234925488713162
565,6UGSWD8D TO F96H6I58,0.3231780584285777
797,9T2T3NWW TO F96H6I58,0.3230586877393351
570,6UGSWD8D TO HTFNIQDD,0.3229630037591712
704,F5SXURFA TO HTFNIQDD,0.3227165472407525
724,F5SXURFA TO QVXBKCSS,0.32269456943483577
597,F5SXURFA TO NX42RPT2,0.3226358912095355
