,combination,sim
91,T4S3K5ZT TO Z56T9MF4,0.5511801231640032
699,F5SXURFA TO F96H6I58,0.5458118237874033
606,8M9FQCNU TO NX42RPT2,0.5137650600132252
943,HTFNIQDD TO Z56T9MF4,0.5132799536316799
399,7V9JCFSV TO Z56T9MF4,0.5097121519193746
364,7V9JCFSV TO AFWXF8CH,0.5004696439653804
375,7V9JCFSV TO F96H6I58,0.49777191997145875
807,DW9W8Z9I TO F96H6I58,0.4881852314374964
1161,DW9W8Z9I TO H3HIEFKV,0.4793916641970274
1164,DW9W8Z9I TO Z56T9MF4,0.4709587474016035
810,F96H6I58 TO H3HIEFKV,0.47038196905988494
798,2017_8 TO F96H6I58,0.46697178375937487
813,F96H6I58 TO Z56T9MF4,0.45879834417599763
796,356QDHJ7 TO F96H6I58,0.4484375873609723
732,J7SB3TH5 TO KF3CZPHV,0.44828835862990235
1189,GCGB74CJ TO H3HIEFKV,0.44721654438949954
982,356QDHJ7 TO DW9W8Z9I,0.44358334997753235
334,F96H6I58 TO FQVMU8GU,0.443396532835905
393,7V9JCFSV TO DW9W8Z9I,0.43936837915283605
356,FQVMU8GU TO GCGB74CJ,0.43591211551489334
396,7V9JCFSV TO H3HIEFKV,0.43544201231165797
765,CDAJEXM8 TO HTFNIQDD,0.4332408754445242
981,2017_9 TO 356QDHJ7,0.4327527210390254
392,2017_9 TO 7V9JCFSV,0.43182591774290424
372,7V9JCFSV TO F5SXURFA,0.43159528887197235
972,356QDHJ7 TO 9T2T3NWW,0.43062241734102524
806,2017_9 TO F96H6I58,0.4299532399938955
331,F5SXURFA TO FQVMU8GU,0.42977996100933247
1213,56QUJEMP TO Z56T9MF4,0.427237266493323
397,7V9JCFSV TO GCGB74CJ,0.4265366506624793
720,F5SXURFA TO H3HIEFKV,0.4260691037394138
451,ABX4R7K5 TO F5SXURFA,0.4244275042602674
167,356QDHJ7 TO GPBS8H6W,0.4233644272281738
988,356QDHJ7 TO Z56T9MF4,0.421906070442138
999,2017_4 TO 9T2T3NWW,0.4206061338555832
792,F96H6I58 TO NINP5I8I,0.41903532153322953
804,2017_7 TO F96H6I58,0.41844155447507114
55,7V9JCFSV TO T4S3K5ZT,0.4158657617568025
737,356QDHJ7 TO J7SB3TH5,0.41449673963048483
772,CDAJEXM8 TO T8P7HT8E,0.41296332019901827
403,56QUJEMP TO 7V9JCFSV,0.4110655674886844
1157,2017_9 TO 56QUJEMP,0.4077799727405776
609,2017_8 TO NX42RPT2,0.40592820380509553
72,HTFNIQDD TO T4S3K5ZT,0.40523554067555634
811,F96H6I58 TO GCGB74CJ,0.4047671772995778
1125,2017_7 TO H3HIEFKV,0.4041401486029779
960,8M9FQCNU TO DW9W8Z9I,0.4033187240878107
1215,GQPNFE6B TO QVXBKCSS,0.40330477806153775
355,FQVMU8GU TO H3HIEFKV,0.4031860996268047
978,2017_4 TO 356QDHJ7,0.4029589647131262
634,5G8U33QZ TO F96H6I58,0.40231987453986734
1150,2017_9 TO H3HIEFKV,0.40097377973128756
499,2017_11 TO 356QDHJ7,0.4000656054736228
1147,2017_9 TO DW9W8Z9I,0.39977857728386057
415,AFWXF8CH TO F96H6I58,0.3979933938910962
1089,2017_4 TO 2017_5,0.39798290613883064
352,DW9W8Z9I TO FQVMU8GU,0.39732702242497386
987,356QDHJ7 TO SMZ5P2JC,0.3964652251960953
1153,2017_9 TO Z56T9MF4,0.3957061632414979
341,356QDHJ7 TO FQVMU8GU,0.3950090142083653
658,5G8U33QZ TO Z56T9MF4,0.39433537338023494
946,CZQ57NCZ TO HTFNIQDD,0.3927050896134952
128,2017_4 TO 4C8T6PTV,0.39261402264604983
324,ABX4R7K5 TO FQVMU8GU,0.3918998667271455
422,356QDHJ7 TO AFWXF8CH,0.3918345750999834
607,356QDHJ7 TO NX42RPT2,0.3909223571263616
67,F96H6I58 TO T4S3K5ZT,0.38934940191024603
296,9895DC6Q TO AMDVNRNA,0.3889736714086605
382,356QDHJ7 TO 7V9JCFSV,0.3885517096879794
672,EWDTT8PI TO HTFNIQDD,0.3875272588327496
831,2017_4 TO SFF232HX,0.3871812780508507
781,CDAJEXM8 TO H3HIEFKV,0.3848586635105852
601,NX42RPT2 TO SFF232HX,0.38428081440317036
1162,DW9W8Z9I TO GCGB74CJ,0.3841841784421999
717,DW9W8Z9I TO F5SXURFA,0.38345743240311697
784,CDAJEXM8 TO Z56T9MF4,0.38305662930397993
454,ABX4R7K5 TO F96H6I58,0.3815806282209982
74,356QDHJ7 TO T4S3K5ZT,0.38116875822732865
723,F5SXURFA TO Z56T9MF4,0.3804293384025603
649,2017_7 TO 5G8U33QZ,0.3801106825725105
713,2017_4 TO F5SXURFA,0.37750728886591156
691,EWDTT8PI TO Z56T9MF4,0.37725360798662166
300,9895DC6Q TO 9T2T3NWW,0.37705243805370614
85,DW9W8Z9I TO T4S3K5ZT,0.37656159251182275
714,2017_7 TO F5SXURFA,0.37633964033573714
1114,2017_4 TO Z56T9MF4,0.3762051251434779
1056,2017_4 TO T9IJMSRB,0.37619421708701367
1072,2017_5 TO T8P7HT8E,0.37593105849289876
992,356QDHJ7 TO 56QUJEMP,0.37542220340742116
505,2017_11 TO 2017_5,0.37504452714150793
966,8M9FQCNU TO Z56T9MF4,0.3735692902923238
1198,GCGB74CJ TO Z56T9MF4,0.37340333745384513
380,7V9JCFSV TO HTFNIQDD,0.37019371475857704
824,356QDHJ7 TO SFF232HX,0.36942659182732496
432,2017_9 TO AFWXF8CH,0.3692917767236685
1099,2017_5 TO Z56T9MF4,0.3692563686625545
439,AFWXF8CH TO Z56T9MF4,0.36864551559265984
940,H3HIEFKV TO HTFNIQDD,0.3677282513221428
759,J7SB3TH5 TO XSJ9KCBQ,0.3676066988943716
600,F96H6I58 TO NX42RPT2,0.3673958303057903
909,2017_4 TO AMDVNRNA,0.36649686096022105
977,2017_5 TO 356QDHJ7,0.36572360522212755
530,2017_10 TO SFF232HX,0.36535241150983166
328,FQVMU8GU TO NX42RPT2,0.36506846109385443
1014,9T2T3NWW TO XSJ9KCBQ,0.3626097743431101
706,356QDHJ7 TO F5SXURFA,0.3620330775667335
970,56QUJEMP TO 8M9FQCNU,0.36123001900609664
1112,2017_4 TO GCGB74CJ,0.3610213998147742
779,CDAJEXM8 TO XGBBFQWX,0.36088406484940944
721,F5SXURFA TO GCGB74CJ,0.359945226409093
