,combination,sim
699,F5SXURFA TO F96H6I58,0.8976494264996147
91,T4S3K5ZT TO Z56T9MF4,0.8898832101288652
943,HTFNIQDD TO Z56T9MF4,0.7298249290806204
1186,2017_1 TO CZQ57NCZ,0.7294755748855167
72,HTFNIQDD TO T4S3K5ZT,0.7047666426605548
432,2017_9 TO AFWXF8CH,0.6829883254309264
606,8M9FQCNU TO NX42RPT2,0.6766589521993869
1213,56QUJEMP TO Z56T9MF4,0.6623690470218241
476,ABX4R7K5 TO GCGB74CJ,0.6620600188028015
403,56QUJEMP TO 7V9JCFSV,0.6609623964780694
308,2017_6 TO 9895DC6Q,0.6547850394009588
1099,2017_5 TO Z56T9MF4,0.6495129624375405
263,2017_4 TO MXXBE2S3,0.6488568333195069
392,2017_9 TO 7V9JCFSV,0.6461351742504031
80,2017_5 TO T4S3K5ZT,0.6370203963271934
484,2017_10 TO 2017_11,0.6365621829559114
982,356QDHJ7 TO DW9W8Z9I,0.6345668193897094
440,AFWXF8CH TO QVXBKCSS,0.6239481811889104
95,56QUJEMP TO T4S3K5ZT,0.6166667357560907
400,7V9JCFSV TO QVXBKCSS,0.6147278231269473
947,56QUJEMP TO HTFNIQDD,0.6058342884862895
378,7V9JCFSV TO NINP5I8I,0.5961400179169476
1157,2017_9 TO 56QUJEMP,0.5938450016079011
1109,2017_4 TO XGBBFQWX,0.5908217773086955
1154,2017_9 TO QVXBKCSS,0.589353844407146
1177,CZQ57NCZ TO XGBBFQWX,0.5860098496489844
324,ABX4R7K5 TO FQVMU8GU,0.5849068479897924
463,2017_8 TO ABX4R7K5,0.5829779821145852
792,F96H6I58 TO NINP5I8I,0.5746238718746743
765,CDAJEXM8 TO HTFNIQDD,0.5745166098993716
543,2017_10 TO 2017_4,0.573789672806505
375,7V9JCFSV TO F96H6I58,0.5711557787124569
356,FQVMU8GU TO GCGB74CJ,0.5641246268096465
374,7V9JCFSV TO CDAJEXM8,0.5621209712616252
1116,2017_4 TO GQPNFE6B,0.5596111428153249
1014,9T2T3NWW TO XSJ9KCBQ,0.5571510564796539
1027,2017_8 TO GCGB74CJ,0.5555486665473541
926,356QDHJ7 TO HTFNIQDD,0.5488458081742901
702,F5SXURFA TO NINP5I8I,0.5478630537592281
399,7V9JCFSV TO Z56T9MF4,0.5458226818630127
364,7V9JCFSV TO AFWXF8CH,0.5447542163018596
434,AFWXF8CH TO XGBBFQWX,0.5423079305886531
380,7V9JCFSV TO HTFNIQDD,0.540181215701846
241,2017_10 TO MXXBE2S3,0.5374890288729193
925,8M9FQCNU TO HTFNIQDD,0.535468899617345
892,GCGB74CJ TO NINP5I8I,0.5330770415773924
654,2017_1 TO 5G8U33QZ,0.5326677272068044
395,2017_1 TO 7V9JCFSV,0.5324729518356615
932,2017_5 TO HTFNIQDD,0.5309398364798646
946,CZQ57NCZ TO HTFNIQDD,0.5277473741890754
737,356QDHJ7 TO J7SB3TH5,0.5258580377221506
605,HTFNIQDD TO NX42RPT2,0.5230936239452085
365,7V9JCFSV TO ABX4R7K5,0.5228877542753403
787,CDAJEXM8 TO CZQ57NCZ,0.5220043648675665
1170,2017_1 TO XGBBFQWX,0.5191171834942613
438,AFWXF8CH TO SMZ5P2JC,0.5151502554587645
1161,DW9W8Z9I TO H3HIEFKV,0.51478001960151
738,9T2T3NWW TO J7SB3TH5,0.5124425869966023
1115,2017_4 TO QVXBKCSS,0.5091871694332204
619,NX42RPT2 TO XGBBFQWX,0.5091518353762997
824,356QDHJ7 TO SFF232HX,0.5087002786708303
540,2017_10 TO T9IJMSRB,0.5070653954189995
38,4IR7FP3G TO XGBBFQWX,0.5065038178680163
939,2017_1 TO HTFNIQDD,0.5062220931151716
810,F96H6I58 TO H3HIEFKV,0.5060220183579971
781,CDAJEXM8 TO H3HIEFKV,0.5037849334763563
851,356QDHJ7 TO KF3CZPHV,0.500434977615914
1117,2017_4 TO CZQ57NCZ,0.4984905007518572
291,9895DC6Q TO CDAJEXM8,0.4981226116224633
39,2017_1 TO 4IR7FP3G,0.49760235488907056
937,DW9W8Z9I TO HTFNIQDD,0.49728542684903076
817,56QUJEMP TO F96H6I58,0.4972329340466457
1137,2017_1 TO 2017_6,0.497057080160199
749,J7SB3TH5 TO XGBBFQWX,0.49655684178447856
1216,CZQ57NCZ TO QVXBKCSS,0.49622596473117664
372,7V9JCFSV TO F5SXURFA,0.49419010276437314
414,AFWXF8CH TO CDAJEXM8,0.4934470772886399
133,4C8T6PTV TO XGBBFQWX,0.4929653445252363
396,7V9JCFSV TO H3HIEFKV,0.49099217232299286
1176,GQPNFE6B TO XGBBFQWX,0.4906822492223001
1125,2017_7 TO H3HIEFKV,0.49064186390924147
