,combination,sim
699,F5SXURFA TO F96H6I58,0.6561274252133711
476,ABX4R7K5 TO GCGB74CJ,0.6408785256075828
91,T4S3K5ZT TO Z56T9MF4,0.6367512490050955
356,FQVMU8GU TO GCGB74CJ,0.609075886372151
1213,56QUJEMP TO Z56T9MF4,0.5820642492848922
943,HTFNIQDD TO Z56T9MF4,0.5537672654203809
399,7V9JCFSV TO Z56T9MF4,0.5511203025096787
792,F96H6I58 TO NINP5I8I,0.5488344431644481
324,ABX4R7K5 TO FQVMU8GU,0.5487112015615172
33,2017_4 TO 4IR7FP3G,0.5411900003536474
375,7V9JCFSV TO F96H6I58,0.54042849758084
702,F5SXURFA TO NINP5I8I,0.5317033878495949
1198,GCGB74CJ TO Z56T9MF4,0.5241437305678301
378,7V9JCFSV TO NINP5I8I,0.5238437384543075
811,F96H6I58 TO GCGB74CJ,0.5182934061072301
95,56QUJEMP TO T4S3K5ZT,0.5127294393393523
1189,GCGB74CJ TO H3HIEFKV,0.5117965628822748
3,4IR7FP3G TO UQ4WC79E,0.5090769057780771
451,ABX4R7K5 TO F5SXURFA,0.507822563758438
1027,2017_8 TO GCGB74CJ,0.5072628565277435
606,8M9FQCNU TO NX42RPT2,0.5061593866951556
1112,2017_4 TO GCGB74CJ,0.5051219345546853
1007,9T2T3NWW TO GCGB74CJ,0.503713491526978
392,2017_9 TO 7V9JCFSV,0.5018725281026781
365,7V9JCFSV TO ABX4R7K5,0.5006303360218674
717,DW9W8Z9I TO F5SXURFA,0.4992470183328474
947,56QUJEMP TO HTFNIQDD,0.4991790633567856
543,2017_10 TO 2017_4,0.4951231570218465
372,7V9JCFSV TO F5SXURFA,0.49013420751932907
334,F96H6I58 TO FQVMU8GU,0.48911110972558036
765,CDAJEXM8 TO HTFNIQDD,0.4889472899163156
55,7V9JCFSV TO T4S3K5ZT,0.48834650123445267
472,ABX4R7K5 TO DW9W8Z9I,0.48659187222447037
331,F5SXURFA TO FQVMU8GU,0.48439182969439576
457,ABX4R7K5 TO NINP5I8I,0.48413974576240365
393,7V9JCFSV TO DW9W8Z9I,0.48139744575727783
484,2017_10 TO 2017_11,0.4778115547910018
380,7V9JCFSV TO HTFNIQDD,0.47439420967232354
1099,2017_5 TO Z56T9MF4,0.47097698941395705
1157,2017_9 TO 56QUJEMP,0.4706364988870428
946,CZQ57NCZ TO HTFNIQDD,0.46984330294363524
27,4IR7FP3G TO 9T2T3NWW,0.46952885549356926
352,DW9W8Z9I TO FQVMU8GU,0.4677307999603796
1181,2017_1 TO GCGB74CJ,0.4673362739541852
506,2017_11 TO 2017_4,0.46728440766009555
807,DW9W8Z9I TO F96H6I58,0.4667517428025107
1164,DW9W8Z9I TO Z56T9MF4,0.4658786426532644
374,7V9JCFSV TO CDAJEXM8,0.4644921024587164
798,2017_8 TO F96H6I58,0.4632263325926309
982,356QDHJ7 TO DW9W8Z9I,0.4626861689355587
772,CDAJEXM8 TO T8P7HT8E,0.4623957245046391
551,2017_10 TO GCGB74CJ,0.46088621414110387
721,F5SXURFA TO GCGB74CJ,0.4608345138439738
454,ABX4R7K5 TO F96H6I58,0.4581105033816265
227,GCGB74CJ TO UQ4WC79E,0.4574696391144233
337,FQVMU8GU TO NINP5I8I,0.4573645210886703
892,GCGB74CJ TO NINP5I8I,0.45603985957520254
497,2017_11 TO HTFNIQDD,0.4535305986501246
343,2017_8 TO FQVMU8GU,0.45333602434973047
11,2017_10 TO 4IR7FP3G,0.45329954673107387
784,CDAJEXM8 TO Z56T9MF4,0.452576404630644
80,2017_5 TO T4S3K5ZT,0.4521995933334786
31,4IR7FP3G TO T8P7HT8E,0.4520842401688917
933,2017_4 TO HTFNIQDD,0.4518528389006444
750,2017_1 TO J7SB3TH5,0.4518266747404575
