,combination,sim
606,8M9FQCNU TO NX42RPT2,0.7117462719310563
91,T4S3K5ZT TO Z56T9MF4,0.6899389499663405
95,56QUJEMP TO T4S3K5ZT,0.6892811719299216
1072,2017_5 TO T8P7HT8E,0.6683962345743204
943,HTFNIQDD TO Z56T9MF4,0.6465267411130082
1157,2017_9 TO 56QUJEMP,0.633945616220453
400,7V9JCFSV TO QVXBKCSS,0.6147973587295916
1056,2017_4 TO T9IJMSRB,0.5999348475886609
623,NX42RPT2 TO SMZ5P2JC,0.5837047807574169
1061,T9IJMSRB TO XGBBFQWX,0.5786438112225414
72,HTFNIQDD TO T4S3K5ZT,0.5750778244432897
1109,2017_4 TO XGBBFQWX,0.5696719301061176
1213,56QUJEMP TO Z56T9MF4,0.5646969771685915
985,356QDHJ7 TO H3HIEFKV,0.553925859762834
965,8M9FQCNU TO SMZ5P2JC,0.5480005553951226
306,2017_4 TO 9895DC6Q,0.5382507948419325
30,4IR7FP3G TO T9IJMSRB,0.5320275654958304
84,2017_9 TO T4S3K5ZT,0.5261650139277326
308,2017_6 TO 9895DC6Q,0.5240233118946765
1177,CZQ57NCZ TO XGBBFQWX,0.5176108403932436
38,4IR7FP3G TO XGBBFQWX,0.5154469301347463
605,HTFNIQDD TO NX42RPT2,0.5153237990381039
241,2017_10 TO MXXBE2S3,0.5142520636587119
426,AFWXF8CH TO T9IJMSRB,0.5053236248577958
296,9895DC6Q TO AMDVNRNA,0.5020480235683863
403,56QUJEMP TO 7V9JCFSV,0.5020467503028426
620,2017_1 TO NX42RPT2,0.49413086282257546
1116,2017_4 TO GQPNFE6B,0.4922392866663038
627,CZQ57NCZ TO NX42RPT2,0.4921188515282071
260,MXXBE2S3 TO T9IJMSRB,0.49153603394924295
947,56QUJEMP TO HTFNIQDD,0.4913107856837212
177,2017_9 TO GPBS8H6W,0.4889380375569494
311,9895DC6Q TO XGBBFQWX,0.4854485116647229
849,HTFNIQDD TO KF3CZPHV,0.4803695450415022
440,AFWXF8CH TO QVXBKCSS,0.480355679253214
303,9895DC6Q TO T9IJMSRB,0.47988176774005886
391,2017_6 TO 7V9JCFSV,0.4784787581221782
1186,2017_1 TO CZQ57NCZ,0.47637679082104323
1067,QVXBKCSS TO T9IJMSRB,0.4745221569141507
477,ABX4R7K5 TO SMZ5P2JC,0.47418273909525865
386,7V9JCFSV TO T9IJMSRB,0.47206761525989727
1137,2017_1 TO 2017_6,0.4713631246742317
286,9895DC6Q TO NX42RPT2,0.46840504914341174
154,GPBS8H6W TO NX42RPT2,0.4682486639808632
263,2017_4 TO MXXBE2S3,0.4659749241815334
165,GPBS8H6W TO HTFNIQDD,0.4641665030449196
211,8M9FQCNU TO UQ4WC79E,0.4637471440851325
1058,2017_6 TO T9IJMSRB,0.4633224292145912
969,8M9FQCNU TO CZQ57NCZ,0.46303890976597617
851,356QDHJ7 TO KF3CZPHV,0.46286935198857815
133,4C8T6PTV TO XGBBFQWX,0.4624825070277164
232,CZQ57NCZ TO UQ4WC79E,0.4612970912923219
918,AMDVNRNA TO SMZ5P2JC,0.461279867000988
395,2017_1 TO 7V9JCFSV,0.4590288945679899
46,4IR7FP3G TO CZQ57NCZ,0.456311917767831
604,AMDVNRNA TO NX42RPT2,0.45493328839127056
128,2017_4 TO 4C8T6PTV,0.45474993691647614
607,356QDHJ7 TO NX42RPT2,0.45208004356564535
859,2017_7 TO KF3CZPHV,0.44850251339625025
409,AFWXF8CH TO NX42RPT2,0.44847847648917183
372,7V9JCFSV TO F5SXURFA,0.4483908585218497
1176,GQPNFE6B TO XGBBFQWX,0.4476421646749268
434,AFWXF8CH TO XGBBFQWX,0.4468183041118563
721,F5SXURFA TO GCGB74CJ,0.44562969176578826
235,9895DC6Q TO MXXBE2S3,0.4454701918362405
69,KF3CZPHV TO T4S3K5ZT,0.4441016102781308
188,56QUJEMP TO GPBS8H6W,0.44081227456125194
199,NX42RPT2 TO UQ4WC79E,0.44027889038725243
868,KF3CZPHV TO Z56T9MF4,0.4399146401398478
162,GPBS8H6W TO KF3CZPHV,0.43981605672229085
1184,2017_1 TO QVXBKCSS,0.43931181830184085
540,2017_10 TO T9IJMSRB,0.43859218197566463
543,2017_10 TO 2017_4,0.43838807053441853
100,4C8T6PTV TO 9895DC6Q,0.4375199373825258
61,NX42RPT2 TO T4S3K5ZT,0.43699194205561054
861,2017_9 TO KF3CZPHV,0.4366755950982073
55,7V9JCFSV TO T4S3K5ZT,0.4364453765140168
39,2017_1 TO 4IR7FP3G,0.43586240546155053
1068,GQPNFE6B TO T9IJMSRB,0.43578988528851315
1069,CZQ57NCZ TO T9IJMSRB,0.43423953786850555
269,2017_1 TO MXXBE2S3,0.4332284390307177
