,combination,sim
91,T4S3K5ZT TO Z56T9MF4,0.7529418024932296
606,8M9FQCNU TO NX42RPT2,0.6553015665381243
375,7V9JCFSV TO F96H6I58,0.5870267999605925
1213,56QUJEMP TO Z56T9MF4,0.5867940508097104
943,HTFNIQDD TO Z56T9MF4,0.5581439724530342
792,F96H6I58 TO NINP5I8I,0.5576820127331227
765,CDAJEXM8 TO HTFNIQDD,0.5467601414451905
699,F5SXURFA TO F96H6I58,0.5302271044323192
717,DW9W8Z9I TO F5SXURFA,0.5280671999818929
399,7V9JCFSV TO Z56T9MF4,0.5216362655404506
374,7V9JCFSV TO CDAJEXM8,0.5179107424168712
750,2017_1 TO J7SB3TH5,0.5175388618235993
333,CDAJEXM8 TO FQVMU8GU,0.5120449148402093
702,F5SXURFA TO NINP5I8I,0.5069151451446702
784,CDAJEXM8 TO Z56T9MF4,0.5047118258369884
472,ABX4R7K5 TO DW9W8Z9I,0.5030945089308192
337,FQVMU8GU TO NINP5I8I,0.49994538857733506
759,J7SB3TH5 TO XSJ9KCBQ,0.49320433111351303
297,9895DC6Q TO HTFNIQDD,0.49010664967896456
457,ABX4R7K5 TO NINP5I8I,0.4865851282598842
67,F96H6I58 TO T4S3K5ZT,0.4861346952836544
393,7V9JCFSV TO DW9W8Z9I,0.48408824715557186
55,7V9JCFSV TO T4S3K5ZT,0.48281777926926384
769,2017_8 TO CDAJEXM8,0.4790045683050659
1157,2017_9 TO 56QUJEMP,0.4759461764538766
714,2017_7 TO F5SXURFA,0.47411357562344336
378,7V9JCFSV TO NINP5I8I,0.4735618857355093
95,56QUJEMP TO T4S3K5ZT,0.47123021003486865
352,DW9W8Z9I TO FQVMU8GU,0.47115556082623433
933,2017_4 TO HTFNIQDD,0.4680430451759421
392,2017_9 TO 7V9JCFSV,0.46428582244549377
763,CDAJEXM8 TO NINP5I8I,0.4634413668964037
451,ABX4R7K5 TO F5SXURFA,0.4629266974971502
1099,2017_5 TO Z56T9MF4,0.46196392626773286
760,CDAJEXM8 TO F96H6I58,0.45858568901986185
901,8M9FQCNU TO AMDVNRNA,0.4558754833151043
497,2017_11 TO HTFNIQDD,0.4551543880370912
889,NINP5I8I TO XGBBFQWX,0.45079029236752677
806,2017_9 TO F96H6I58,0.4493602021365003
365,7V9JCFSV TO ABX4R7K5,0.4491362639052623
931,HTFNIQDD TO T8P7HT8E,0.4453130528470297
534,2017_10 TO HTFNIQDD,0.44421813492315554
369,7V9JCFSV TO NX42RPT2,0.44326019786295867
372,7V9JCFSV TO F5SXURFA,0.4404099235235607
340,8M9FQCNU TO FQVMU8GU,0.4393893803906166
384,2017_8 TO 7V9JCFSV,0.43541230635403294
