,combination,sim
810,F96H6I58 TO H3HIEFKV,0.6194612526968852
1149,2017_1 TO 2017_9,0.5494177378925248
1005,2017_1 TO 9T2T3NWW,0.5404200553143985
947,56QUJEMP TO HTFNIQDD,0.5400074574640721
440,AFWXF8CH TO QVXBKCSS,0.53096330953455
806,2017_9 TO F96H6I58,0.5007245627249923
1054,T8P7HT8E TO T9IJMSRB,0.49882287048286034
807,DW9W8Z9I TO F96H6I58,0.4986245117822893
432,2017_9 TO AFWXF8CH,0.4916548890491572
1014,9T2T3NWW TO XSJ9KCBQ,0.4898646316637738
300,9895DC6Q TO 9T2T3NWW,0.48887570280612247
699,F5SXURFA TO F96H6I58,0.4871088599892761
1189,GCGB74CJ TO H3HIEFKV,0.48621782219672394
1148,2017_9 TO XGBBFQWX,0.4860032166060033
415,AFWXF8CH TO F96H6I58,0.48377240541370803
1110,2017_1 TO 2017_4,0.4768654405781123
1171,H3HIEFKV TO XGBBFQWX,0.4761203510776325
811,F96H6I58 TO GCGB74CJ,0.4751098432600014
817,56QUJEMP TO F96H6I58,0.47488899751881286
434,AFWXF8CH TO XGBBFQWX,0.4725854781107479
999,2017_4 TO 9T2T3NWW,0.47185522588341267
1056,2017_4 TO T9IJMSRB,0.4704771513425845
634,5G8U33QZ TO F96H6I58,0.4685656854755009
1150,2017_9 TO H3HIEFKV,0.46524085712258934
321,9895DC6Q TO XSJ9KCBQ,0.4651001021615324
1125,2017_7 TO H3HIEFKV,0.4540909741756167
471,2017_9 TO ABX4R7K5,0.45375902947937385
777,2017_9 TO CDAJEXM8,0.45310433207912637
996,9T2T3NWW TO T9IJMSRB,0.45240679717968435
263,2017_4 TO MXXBE2S3,0.45099455735099825
95,56QUJEMP TO T4S3K5ZT,0.4502650977914464
312,2017_1 TO 9895DC6Q,0.4478552133047262
1055,2017_5 TO T9IJMSRB,0.4471583456891486
1134,2017_6 TO 2017_9,0.4440963603336603
1161,DW9W8Z9I TO H3HIEFKV,0.4439551272012232
809,2017_1 TO F96H6I58,0.44356159380850246
1010,9T2T3NWW TO QVXBKCSS,0.4426228240825074
324,ABX4R7K5 TO FQVMU8GU,0.4425958339656888
414,AFWXF8CH TO CDAJEXM8,0.4405066771864202
1089,2017_4 TO 2017_5,0.4360967413413508
760,CDAJEXM8 TO F96H6I58,0.43452225705088354
