,combination,sim
606,8M9FQCNU TO NX42RPT2,0.6553015665381243
91,T4S3K5ZT TO Z56T9MF4,0.5658825132610086
750,2017_1 TO J7SB3TH5,0.5175388618235993
699,F5SXURFA TO F96H6I58,0.5086679822107977
1213,56QUJEMP TO Z56T9MF4,0.5056121805012466
759,J7SB3TH5 TO XSJ9KCBQ,0.49320433111351303
1189,GCGB74CJ TO H3HIEFKV,0.48621782219672394
375,7V9JCFSV TO F96H6I58,0.4854261977034111
943,HTFNIQDD TO Z56T9MF4,0.47913677768104523
811,F96H6I58 TO GCGB74CJ,0.4751098432600014
806,2017_9 TO F96H6I58,0.4750423824307463
947,56QUJEMP TO HTFNIQDD,0.47497604432391405
792,F96H6I58 TO NINP5I8I,0.47326064230916726
95,56QUJEMP TO T4S3K5ZT,0.46074765391315753
901,8M9FQCNU TO AMDVNRNA,0.4558754833151043
399,7V9JCFSV TO Z56T9MF4,0.4499025797180933
760,CDAJEXM8 TO F96H6I58,0.4465539730353727
807,DW9W8Z9I TO F96H6I58,0.44197875574213813
777,2017_9 TO CDAJEXM8,0.43951495970494775
340,8M9FQCNU TO FQVMU8GU,0.4393893803906166
765,CDAJEXM8 TO HTFNIQDD,0.43753916017023137
717,DW9W8Z9I TO F5SXURFA,0.43735202763317116
1157,2017_9 TO 56QUJEMP,0.4367494077311201
67,F96H6I58 TO T4S3K5ZT,0.4356445320796512
324,ABX4R7K5 TO FQVMU8GU,0.4355115001910727
476,ABX4R7K5 TO GCGB74CJ,0.43250715157862496
432,2017_9 TO AFWXF8CH,0.4318769947347679
381,7V9JCFSV TO 8M9FQCNU,0.42955670738065144
817,56QUJEMP TO F96H6I58,0.4289406645324068
1151,2017_9 TO GCGB74CJ,0.4285752995264913
889,NINP5I8I TO XGBBFQWX,0.42357319247852926
392,2017_9 TO 7V9JCFSV,0.42013176675264907
471,2017_9 TO ABX4R7K5,0.4144855705949564
372,7V9JCFSV TO F5SXURFA,0.4143400386493476
393,7V9JCFSV TO DW9W8Z9I,0.414314815526228
766,8M9FQCNU TO CDAJEXM8,0.41258108101323576
779,CDAJEXM8 TO XGBBFQWX,0.4122035064620506
772,CDAJEXM8 TO T8P7HT8E,0.41005224361557896
936,2017_9 TO HTFNIQDD,0.4094076141367503
702,F5SXURFA TO NINP5I8I,0.4077040333468014
