doc1,doc2,pairName,source,mapping notes
2017_8,7V9JCFSV,"2017_8,7V9JCFSV",glove_check,"classic near analogy
schema = [improve innovation by improving divergence by facilitating reuse of data]"
2017_8,H3HIEFKV,"2017_8,H3HIEFKV",glove_check,"schema = improve search [for ideas, for information] by integrating/combining information [partial solutions, schemas] from multiple people"
2017_8,NINP5I8I,"2017_8,NINP5I8I",glove_check,"classic near analogy
schema = [improve innovation by facilitating reuse of data]"
2017_9,H3HIEFKV,"2017_9,H3HIEFKV",glove_check,"schema = ""boost signal [of quality, schema] by integrating data [assessments, schemas] from multiple people"""
CDAJEXM8,XGBBFQWX,"CDAJEXM8,XGBBFQWX",glove_check,classic near analogy: influence people's impressions of others online by showing activity traces
H3HIEFKV,NX42RPT2,"H3HIEFKV,NX42RPT2",glove_check,"schema = [integrate multiple [schemas, contexts] to improve the ability to find/detect [relevant information, appropriate groupings of devices]."
2017_9,Z56T9MF4,"2017_9,Z56T9MF4",problemMap,"FROM Provide timely, affordable feedback to designers TO Enable workers to certify each others' quality"
7V9JCFSV,F5SXURFA,"7V9JCFSV,F5SXURFA",problemMap,"FROM Experts highlight which promising ideas to build on, and how to build on them TO Need criteria for selecting helpful inspirations"
7V9JCFSV,GCGB74CJ,"7V9JCFSV,GCGB74CJ",problemMap,FROM Increase analogical innovation TO Enable community members to build on other (good) ideas within the community
7V9JCFSV,H3HIEFKV,"7V9JCFSV,H3HIEFKV",problemMap,FROM Leverage schemas other novices have produced as they learn about a domain TO Enable community members to build on other (good) ideas within the community
F5SXURFA,H3HIEFKV,"F5SXURFA,H3HIEFKV",problemMap,FROM Create a synthesis of the emerging solution space TO Aggregate schemas across users
F96H6I58,H3HIEFKV,"F96H6I58,H3HIEFKV",problemMap,FROM Create a synthesis of the emerging solution space TO Aggregate schemas across users
2017_8,F96H6I58,"2017_8,F96H6I58",glove_check,"classic near analogy
schema = [improve innovation by improving divergence by facilitating reuse of data]"
2017_9,356QDHJ7,"2017_9,356QDHJ7",glove_check,"schema = recruit [guilds of] crowd workers to assess/analyze information [crowd work, video data]. could see guilds being relevant to glance, and interfaces in glance relevant to improving peer assessment process in crowd guilds"
2017_9,F96H6I58,"2017_9,F96H6I58",glove_check,"maybe partial match?? schema: [help [requesters, crowd ideators] find good [workers, ideas to build on] by using a community-led process [guild peer assessment, integrated crowdsourcing] to construct a [set of quality signals, map for finding diverse ideas]"
356QDHJ7,F96H6I58,"356QDHJ7,F96H6I58",glove_check,partially near analogy: [create workflow that enables crowdsourced data analysis]
356QDHJ7,Z56T9MF4,"356QDHJ7,Z56T9MF4",glove_check,classic near analogy: [create scaffolded interfaces/worklows that enable crowdsourced data analysis]
7V9JCFSV,T4S3K5ZT,"7V9JCFSV,T4S3K5ZT",glove_check,"schema: improve design work with targeted feedback; improve targeted feedback with scaffolded feedback form [inspirations, structured workflow]"
GCGB74CJ,H3HIEFKV,"GCGB74CJ,H3HIEFKV",glove_check,"slightly different context, but very close schema = [re-represent data as schemas to improve search for information online]"
2017_9,56QUJEMP,"2017_9,56QUJEMP",problemMap,"FROM Provide timely, affordable feedback to designers TO Enable workers to certify each others' quality"
56QUJEMP,Z56T9MF4,"56QUJEMP,Z56T9MF4",schema,enable many novices to do the work of a few experts even if they have limited knowledge and limited time to train [solution: structured micro-tasks]
2017_9,7V9JCFSV,"2017_9,7V9JCFSV",glove_check,"classic near analogy
schema: improve feedback/guidance by changing the source and nature/format of the feedback [peer assessment in guild / inspiration from expert facilitator]"
